ExclusionID,Nom,Categorie,Description,PackImpacte
EX00035,Transport de matières dangereuses non autorisé,Territorial,Transport de matières dangereuses non autorisé. Voir article 19 des CG.,Business
EX00036,Dommages intentionnels causés par l'assuré,Conduite,Dommages intentionnels causés par l'assuré. Voir article 1 des CG.,VIP
EX00037,Sinistre survenu pendant une période de suspension,Administratif,Sinistre survenu pendant une période de suspension. Voir article 9 des CG.,Bronze
EX00038,Modification non déclarée du véhicule,Administratif,Modification non déclarée du véhicule. Voir article 2 des CG.,Silver
EX00039,Dépassement de la limite kilométrique contractuelle,Territorial,Dépassement de la limite kilométrique contractuelle. Voir article 24 des CG.,VIP
EX00040,Conduite sous l'emprise de l'alcool ou de stupéfiants,Conduite,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 26 des CG.,Silver+
EX00041,Usage du véhicule en compétition ou sur circuit,Administratif,Usage du véhicule en compétition ou sur circuit. Voir article 7 des CG.,VIP
EX00042,Dommages survenus hors territoire marocain non couvert,Administratif,Dommages survenus hors territoire marocain non couvert. Voir article 2 des CG.,Gold+
EX00043,Usure normale et défaut d'entretien,Conduite,Usure normale et défaut d'entretien. Voir article 19 des CG.,Premium
EX00044,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 10 des CG.,Premium
EX00045,Transport de matières dangereuses non autorisé,Usage,Transport de matières dangereuses non autorisé. Voir article 13 des CG.,Silver+
EX00046,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 38 des CG.,Business
EX00047,Sinistre survenu pendant une période de suspension,Territorial,Sinistre survenu pendant une période de suspension. Voir article 6 des CG.,Eco+
EX00048,Modification non déclarée du véhicule,Usage,Modification non déclarée du véhicule. Voir article 42 des CG.,VIP
EX00049,Dépassement de la limite kilométrique contractuelle,Administratif,Dépassement de la limite kilométrique contractuelle. Voir article 14 des CG.,Business
EX00050,Conduite sous l'emprise de l'alcool ou de stupéfiants,Conduite,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 26 des CG.,Gold+
EX00051,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 34 des CG.,Gold+
EX00052,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 23 des CG.,Eco+
EX00053,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 23 des CG.,VIP
EX00054,Conduite par une personne non déclarée au contrat,Conduite,Conduite par une personne non déclarée au contrat. Voir article 27 des CG.,VIP
EX00055,Transport de matières dangereuses non autorisé,Administratif,Transport de matières dangereuses non autorisé. Voir article 37 des CG.,Tous
EX00056,Dommages intentionnels causés par l'assuré,Administratif,Dommages intentionnels causés par l'assuré. Voir article 41 des CG.,Business
EX00057,Sinistre survenu pendant une période de suspension,Conduite,Sinistre survenu pendant une période de suspension. Voir article 9 des CG.,Premium
EX00058,Modification non déclarée du véhicule,Territorial,Modification non déclarée du véhicule. Voir article 44 des CG.,Premium
EX00059,Dépassement de la limite kilométrique contractuelle,Conduite,Dépassement de la limite kilométrique contractuelle. Voir article 26 des CG.,Premium
EX00060,Conduite sous l'emprise de l'alcool ou de stupéfiants,Territorial,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 19 des CG.,VIP
EX00061,Usage du véhicule en compétition ou sur circuit,Conduite,Usage du véhicule en compétition ou sur circuit. Voir article 35 des CG.,Eco+
EX00062,Dommages survenus hors territoire marocain non couvert,Usage,Dommages survenus hors territoire marocain non couvert. Voir article 40 des CG.,Tous
EX00063,Usure normale et défaut d'entretien,Administratif,Usure normale et défaut d'entretien. Voir article 3 des CG.,Gold
EX00064,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 40 des CG.,Bronze
EX00065,Transport de matières dangereuses non autorisé,Administratif,Transport de matières dangereuses non autorisé. Voir article 14 des CG.,Gold+
EX00066,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 12 des CG.,Business
EX00067,Sinistre survenu pendant une période de suspension,Territorial,Sinistre survenu pendant une période de suspension. Voir article 4 des CG.,Silver+
EX00068,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 1 des CG.,Business
EX00069,Dépassement de la limite kilométrique contractuelle,Conduite,Dépassement de la limite kilométrique contractuelle. Voir article 6 des CG.,Tous
EX00070,Conduite sous l'emprise de l'alcool ou de stupéfiants,Administratif,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 28 des CG.,Gold+
EX00071,Usage du véhicule en compétition ou sur circuit,Administratif,Usage du véhicule en compétition ou sur circuit. Voir article 31 des CG.,Business
EX00072,Dommages survenus hors territoire marocain non couvert,Territorial,Dommages survenus hors territoire marocain non couvert. Voir article 22 des CG.,Eco+
EX00073,Usure normale et défaut d'entretien,Usage,Usure normale et défaut d'entretien. Voir article 41 des CG.,Premium
EX00074,Conduite par une personne non déclarée au contrat,Administratif,Conduite par une personne non déclarée au contrat. Voir article 22 des CG.,VIP
EX00075,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 44 des CG.,Gold+
EX00076,Dommages intentionnels causés par l'assuré,Usage,Dommages intentionnels causés par l'assuré. Voir article 33 des CG.,Gold+
EX00077,Sinistre survenu pendant une période de suspension,Usage,Sinistre survenu pendant une période de suspension. Voir article 1 des CG.,VIP
EX00078,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 12 des CG.,Eco+
EX00079,Dépassement de la limite kilométrique contractuelle,Administratif,Dépassement de la limite kilométrique contractuelle. Voir article 21 des CG.,Premium
EX00080,Conduite sous l'emprise de l'alcool ou de stupéfiants,Conduite,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 45 des CG.,Gold
EX00081,Usage du véhicule en compétition ou sur circuit,Administratif,Usage du véhicule en compétition ou sur circuit. Voir article 37 des CG.,Gold
EX00082,Dommages survenus hors territoire marocain non couvert,Administratif,Dommages survenus hors territoire marocain non couvert. Voir article 4 des CG.,Gold
EX00083,Usure normale et défaut d'entretien,Administratif,Usure normale et défaut d'entretien. Voir article 19 des CG.,Silver+
EX00084,Conduite par une personne non déclarée au contrat,Administratif,Conduite par une personne non déclarée au contrat. Voir article 21 des CG.,Gold
EX00085,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 24 des CG.,Tous
EX00086,Dommages intentionnels causés par l'assuré,Usage,Dommages intentionnels causés par l'assuré. Voir article 5 des CG.,VIP
EX00087,Sinistre survenu pendant une période de suspension,Territorial,Sinistre survenu pendant une période de suspension. Voir article 13 des CG.,Premium
EX00088,Modification non déclarée du véhicule,Usage,Modification non déclarée du véhicule. Voir article 29 des CG.,Eco+
EX00089,Dépassement de la limite kilométrique contractuelle,Territorial,Dépassement de la limite kilométrique contractuelle. Voir article 6 des CG.,Tous
EX00090,Conduite sous l'emprise de l'alcool ou de stupéfiants,Conduite,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 30 des CG.,Eco
EX00091,Usage du véhicule en compétition ou sur circuit,Territorial,Usage du véhicule en compétition ou sur circuit. Voir article 34 des CG.,Bronze
EX00092,Dommages survenus hors territoire marocain non couvert,Usage,Dommages survenus hors territoire marocain non couvert. Voir article 34 des CG.,Bronze
EX00093,Usure normale et défaut d'entretien,Conduite,Usure normale et défaut d'entretien. Voir article 32 des CG.,Silver+
EX00094,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 24 des CG.,Gold+
EX00095,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 14 des CG.,Bronze
EX00096,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 19 des CG.,Gold+
EX00097,Sinistre survenu pendant une période de suspension,Usage,Sinistre survenu pendant une période de suspension. Voir article 1 des CG.,Eco+
EX00098,Modification non déclarée du véhicule,Territorial,Modification non déclarée du véhicule. Voir article 10 des CG.,Gold+
EX00099,Dépassement de la limite kilométrique contractuelle,Territorial,Dépassement de la limite kilométrique contractuelle. Voir article 26 des CG.,VIP
EX00100,Conduite sous l'emprise de l'alcool ou de stupéfiants,Administratif,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 30 des CG.,Gold
EX00101,Usage du véhicule en compétition ou sur circuit,Administratif,Usage du véhicule en compétition ou sur circuit. Voir article 17 des CG.,Silver+
EX00102,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 27 des CG.,Tous
EX00103,Usure normale et défaut d'entretien,Administratif,Usure normale et défaut d'entretien. Voir article 29 des CG.,Silver+
EX00104,Conduite par une personne non déclarée au contrat,Administratif,Conduite par une personne non déclarée au contrat. Voir article 26 des CG.,Silver+
EX00105,Transport de matières dangereuses non autorisé,Usage,Transport de matières dangereuses non autorisé. Voir article 29 des CG.,Gold
EX00106,Dommages intentionnels causés par l'assuré,Administratif,Dommages intentionnels causés par l'assuré. Voir article 38 des CG.,Premium
EX00107,Sinistre survenu pendant une période de suspension,Administratif,Sinistre survenu pendant une période de suspension. Voir article 32 des CG.,Gold+
EX00108,Modification non déclarée du véhicule,Usage,Modification non déclarée du véhicule. Voir article 40 des CG.,VIP
EX00109,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 9 des CG.,Tous
EX00110,Conduite sous l'emprise de l'alcool ou de stupéfiants,Administratif,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 40 des CG.,VIP
EX00111,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 39 des CG.,Silver+
EX00112,Dommages survenus hors territoire marocain non couvert,Usage,Dommages survenus hors territoire marocain non couvert. Voir article 41 des CG.,VIP
EX00113,Usure normale et défaut d'entretien,Administratif,Usure normale et défaut d'entretien. Voir article 1 des CG.,Premium
EX00114,Conduite par une personne non déclarée au contrat,Administratif,Conduite par une personne non déclarée au contrat. Voir article 11 des CG.,Business
EX00115,Transport de matières dangereuses non autorisé,Usage,Transport de matières dangereuses non autorisé. Voir article 20 des CG.,Gold+
EX00116,Dommages intentionnels causés par l'assuré,Usage,Dommages intentionnels causés par l'assuré. Voir article 23 des CG.,VIP
EX00117,Sinistre survenu pendant une période de suspension,Usage,Sinistre survenu pendant une période de suspension. Voir article 42 des CG.,Tous
EX00118,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 2 des CG.,VIP
EX00119,Dépassement de la limite kilométrique contractuelle,Conduite,Dépassement de la limite kilométrique contractuelle. Voir article 23 des CG.,Silver
EX00120,Conduite sous l'emprise de l'alcool ou de stupéfiants,Conduite,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 40 des CG.,Silver
EX00121,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 4 des CG.,Eco+
EX00122,Dommages survenus hors territoire marocain non couvert,Territorial,Dommages survenus hors territoire marocain non couvert. Voir article 30 des CG.,Business
EX00123,Usure normale et défaut d'entretien,Usage,Usure normale et défaut d'entretien. Voir article 42 des CG.,VIP
EX00124,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 2 des CG.,Business
EX00125,Transport de matières dangereuses non autorisé,Territorial,Transport de matières dangereuses non autorisé. Voir article 34 des CG.,Gold+
EX00126,Dommages intentionnels causés par l'assuré,Administratif,Dommages intentionnels causés par l'assuré. Voir article 3 des CG.,Silver
EX00127,Sinistre survenu pendant une période de suspension,Territorial,Sinistre survenu pendant une période de suspension. Voir article 42 des CG.,Eco
EX00128,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 23 des CG.,VIP
EX00129,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 8 des CG.,Eco
EX00130,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 36 des CG.,Eco+
EX00131,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 14 des CG.,Eco
EX00132,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 43 des CG.,Eco+
EX00133,Usure normale et défaut d'entretien,Conduite,Usure normale et défaut d'entretien. Voir article 30 des CG.,Eco+
EX00134,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 36 des CG.,Premium
EX00135,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 26 des CG.,Bronze
EX00136,Dommages intentionnels causés par l'assuré,Usage,Dommages intentionnels causés par l'assuré. Voir article 20 des CG.,Silver
EX00137,Sinistre survenu pendant une période de suspension,Conduite,Sinistre survenu pendant une période de suspension. Voir article 40 des CG.,Eco+
EX00138,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 1 des CG.,Business
EX00139,Dépassement de la limite kilométrique contractuelle,Territorial,Dépassement de la limite kilométrique contractuelle. Voir article 34 des CG.,Gold
EX00140,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 14 des CG.,Business
EX00141,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 1 des CG.,Premium
EX00142,Dommages survenus hors territoire marocain non couvert,Territorial,Dommages survenus hors territoire marocain non couvert. Voir article 24 des CG.,Eco+
EX00143,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 24 des CG.,Gold
EX00144,Conduite par une personne non déclarée au contrat,Conduite,Conduite par une personne non déclarée au contrat. Voir article 41 des CG.,Gold+
EX00145,Transport de matières dangereuses non autorisé,Territorial,Transport de matières dangereuses non autorisé. Voir article 43 des CG.,Business
EX00146,Dommages intentionnels causés par l'assuré,Conduite,Dommages intentionnels causés par l'assuré. Voir article 25 des CG.,Gold+
EX00147,Sinistre survenu pendant une période de suspension,Conduite,Sinistre survenu pendant une période de suspension. Voir article 13 des CG.,Gold+
EX00148,Modification non déclarée du véhicule,Usage,Modification non déclarée du véhicule. Voir article 28 des CG.,Premium
EX00149,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 4 des CG.,Gold
EX00150,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 36 des CG.,Gold+
EX00151,Usage du véhicule en compétition ou sur circuit,Territorial,Usage du véhicule en compétition ou sur circuit. Voir article 37 des CG.,Silver+
EX00152,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 20 des CG.,Premium
EX00153,Usure normale et défaut d'entretien,Usage,Usure normale et défaut d'entretien. Voir article 32 des CG.,Gold
EX00154,Conduite par une personne non déclarée au contrat,Territorial,Conduite par une personne non déclarée au contrat. Voir article 24 des CG.,Eco
EX00155,Transport de matières dangereuses non autorisé,Territorial,Transport de matières dangereuses non autorisé. Voir article 23 des CG.,Gold
EX00156,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 2 des CG.,Gold+
EX00157,Sinistre survenu pendant une période de suspension,Administratif,Sinistre survenu pendant une période de suspension. Voir article 3 des CG.,Eco+
EX00158,Modification non déclarée du véhicule,Territorial,Modification non déclarée du véhicule. Voir article 30 des CG.,Gold
EX00159,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 39 des CG.,Premium
EX00160,Conduite sous l'emprise de l'alcool ou de stupéfiants,Territorial,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 17 des CG.,Silver
EX00161,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 36 des CG.,Eco
EX00162,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 32 des CG.,Eco
EX00163,Usure normale et défaut d'entretien,Administratif,Usure normale et défaut d'entretien. Voir article 33 des CG.,Premium
EX00164,Conduite par une personne non déclarée au contrat,Conduite,Conduite par une personne non déclarée au contrat. Voir article 45 des CG.,VIP
EX00165,Transport de matières dangereuses non autorisé,Administratif,Transport de matières dangereuses non autorisé. Voir article 3 des CG.,VIP
EX00166,Dommages intentionnels causés par l'assuré,Administratif,Dommages intentionnels causés par l'assuré. Voir article 3 des CG.,VIP
EX00167,Sinistre survenu pendant une période de suspension,Usage,Sinistre survenu pendant une période de suspension. Voir article 17 des CG.,Gold+
EX00168,Modification non déclarée du véhicule,Territorial,Modification non déclarée du véhicule. Voir article 41 des CG.,Gold+
EX00169,Dépassement de la limite kilométrique contractuelle,Administratif,Dépassement de la limite kilométrique contractuelle. Voir article 42 des CG.,Eco
EX00170,Conduite sous l'emprise de l'alcool ou de stupéfiants,Territorial,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 27 des CG.,Gold
EX00171,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 35 des CG.,Gold+
EX00172,Dommages survenus hors territoire marocain non couvert,Administratif,Dommages survenus hors territoire marocain non couvert. Voir article 11 des CG.,Eco+
EX00173,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 22 des CG.,Eco+
EX00174,Conduite par une personne non déclarée au contrat,Conduite,Conduite par une personne non déclarée au contrat. Voir article 42 des CG.,Silver+
EX00175,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 25 des CG.,Premium
EX00176,Dommages intentionnels causés par l'assuré,Usage,Dommages intentionnels causés par l'assuré. Voir article 31 des CG.,Silver
EX00177,Sinistre survenu pendant une période de suspension,Conduite,Sinistre survenu pendant une période de suspension. Voir article 4 des CG.,Tous
EX00178,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 7 des CG.,Silver+
EX00179,Dépassement de la limite kilométrique contractuelle,Territorial,Dépassement de la limite kilométrique contractuelle. Voir article 17 des CG.,Eco+
EX00180,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 43 des CG.,Silver
EX00181,Usage du véhicule en compétition ou sur circuit,Territorial,Usage du véhicule en compétition ou sur circuit. Voir article 18 des CG.,Silver+
EX00182,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 33 des CG.,Gold
EX00183,Usure normale et défaut d'entretien,Conduite,Usure normale et défaut d'entretien. Voir article 30 des CG.,Business
EX00184,Conduite par une personne non déclarée au contrat,Territorial,Conduite par une personne non déclarée au contrat. Voir article 41 des CG.,Eco+
EX00185,Transport de matières dangereuses non autorisé,Territorial,Transport de matières dangereuses non autorisé. Voir article 31 des CG.,Eco+
EX00186,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 28 des CG.,Eco
EX00187,Sinistre survenu pendant une période de suspension,Conduite,Sinistre survenu pendant une période de suspension. Voir article 34 des CG.,Gold+
EX00188,Modification non déclarée du véhicule,Usage,Modification non déclarée du véhicule. Voir article 22 des CG.,Silver
EX00189,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 30 des CG.,VIP
EX00190,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 43 des CG.,Eco
EX00191,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 29 des CG.,Tous
EX00192,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 34 des CG.,Gold+
EX00193,Usure normale et défaut d'entretien,Usage,Usure normale et défaut d'entretien. Voir article 12 des CG.,Business
EX00194,Conduite par une personne non déclarée au contrat,Territorial,Conduite par une personne non déclarée au contrat. Voir article 8 des CG.,Business
EX00195,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 14 des CG.,Premium
EX00196,Dommages intentionnels causés par l'assuré,Conduite,Dommages intentionnels causés par l'assuré. Voir article 28 des CG.,Silver+
EX00197,Sinistre survenu pendant une période de suspension,Usage,Sinistre survenu pendant une période de suspension. Voir article 11 des CG.,Gold+
EX00198,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 5 des CG.,Tous
EX00199,Dépassement de la limite kilométrique contractuelle,Conduite,Dépassement de la limite kilométrique contractuelle. Voir article 3 des CG.,Tous
EX00200,Conduite sous l'emprise de l'alcool ou de stupéfiants,Conduite,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 21 des CG.,Bronze
EX00201,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 15 des CG.,Tous
EX00202,Dommages survenus hors territoire marocain non couvert,Administratif,Dommages survenus hors territoire marocain non couvert. Voir article 29 des CG.,Silver+
EX00203,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 36 des CG.,Silver
EX00204,Conduite par une personne non déclarée au contrat,Administratif,Conduite par une personne non déclarée au contrat. Voir article 22 des CG.,Eco
EX00205,Transport de matières dangereuses non autorisé,Territorial,Transport de matières dangereuses non autorisé. Voir article 4 des CG.,Bronze
EX00206,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 8 des CG.,Tous
EX00207,Sinistre survenu pendant une période de suspension,Conduite,Sinistre survenu pendant une période de suspension. Voir article 10 des CG.,Eco+
EX00208,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 1 des CG.,Gold+
EX00209,Dépassement de la limite kilométrique contractuelle,Territorial,Dépassement de la limite kilométrique contractuelle. Voir article 5 des CG.,Silver+
EX00210,Conduite sous l'emprise de l'alcool ou de stupéfiants,Territorial,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 39 des CG.,Bronze
EX00211,Usage du véhicule en compétition ou sur circuit,Territorial,Usage du véhicule en compétition ou sur circuit. Voir article 14 des CG.,Bronze
EX00212,Dommages survenus hors territoire marocain non couvert,Usage,Dommages survenus hors territoire marocain non couvert. Voir article 12 des CG.,Tous
EX00213,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 14 des CG.,Silver
EX00214,Conduite par une personne non déclarée au contrat,Territorial,Conduite par une personne non déclarée au contrat. Voir article 13 des CG.,Gold
EX00215,Transport de matières dangereuses non autorisé,Territorial,Transport de matières dangereuses non autorisé. Voir article 2 des CG.,Silver
EX00216,Dommages intentionnels causés par l'assuré,Usage,Dommages intentionnels causés par l'assuré. Voir article 3 des CG.,Eco
EX00217,Sinistre survenu pendant une période de suspension,Conduite,Sinistre survenu pendant une période de suspension. Voir article 4 des CG.,Tous
EX00218,Modification non déclarée du véhicule,Administratif,Modification non déclarée du véhicule. Voir article 12 des CG.,Premium
EX00219,Dépassement de la limite kilométrique contractuelle,Administratif,Dépassement de la limite kilométrique contractuelle. Voir article 11 des CG.,Silver+
