VehicleID,ClientID,Marque,Modele,Version,Annee,Categorie,Carburant,Transmission,PuissanceDIN,PuissanceCV,ValeurNeuve,ValeurActuelle,NombrePlaces,Poids,Cylindree,Couleur,NombrePortes,VIN,Immatriculation,Etat
VH000079,CL000079,Volkswagen,Passat,Passat Intens,2024,Berline,Essence,Manuelle,150,8,385000,298144.0,5,1480,1968,Vert,4,WVW772D639771F7FF,20804|YX|2,Usé
VH000080,CL000080,Renault,Megane IV,Megane IV Active,2012,Compacte,Diesel,Manuelle,130,7,285000,119849.11,5,1320,1332,Rouge,5,VF18FEBEFF56E3228,99018|JB|4,Bon
VH000081,CL000081,Toyota,RAV4,RAV4 Iconic,2024,SUV,Diesel,Automatique,177,8,425000,329120.0,5,1580,2487,Rouge,5,JTD01876C5BB47240,00081-A-7,Correct
VH000082,CL000082,Nissan,Micra,Micra GT Line,2024,Citadine,Essence,Automatique,71,4,165000,127776.0,5,980,999,Rouge,5,JN186C2258938BC6E,21133|VJ|5,Usé
VH000083,CL000083,Dacia,Sandero,Sandero GT Line,2020,Citadine,Hybride,Automatique,65,4,140000,84889.7,5,1050,999,Marron,5,UU1405718EA46C470,21834|XE|4,Excellent
VH000084,CL000084,Dacia,Sandero,Sandero GT Line,2013,Citadine,Diesel,Manuelle,65,4,125000,55920.64,5,1050,999,Argent,5,UU15B2C74B11DE2BC,00084-A-6,Correct
VH000085,CL000085,Audi,A3,A3 GT Line,2012,Compacte,Hybride,Manuelle,150,8,476000,200169.04,5,1380,1498,Argent,5,WAU8875B73E744773,46539|TY|7,Bon
VH000086,CL000086,Dacia,Logan,Logan Business,2018,Berline,Essence,Manuelle,90,5,135000,82291.81,5,1100,999,Bleu,4,UU1FB0C92EE2BA86D,32698|BY|2,Correct
VH000087,CL000087,Ford,Focus,Focus Iconic,2023,Compacte,Diesel,Automatique,125,6,275000,187404.8,5,1320,1499,Beige,5,WF08183A435F3302D,00087-H-4,Correct
VH000088,CL000088,Renault,Captur,Captur Iconic,2019,SUV,Diesel,Automatique,110,6,265000,147829.35,5,1220,999,Rouge,5,VF1D82AD3C8AAF9A2,14337|HU|1,Usé
VH000089,CL000089,Citroën,C4,C4 Business,2025,Compacte,Essence,Automatique,110,6,265000,233200.0,5,1240,1199,Marron,5,VF7076EB8C3C42D1D,20616|SJ|9,Correct
VH000090,CL000090,Renault,Clio V,Clio V GT Line,2024,Citadine,Essence,Manuelle,90,5,185000,143264.0,5,1150,999,Blanc,5,VF10C039FF4F437F7,00090-E-2,Correct
VH000091,CL000091,Audi,A4,A4 Business,2025,Berline,Essence,Automatique,150,9,485000,426800.0,5,1520,1968,Blanc,4,WAU2051D6297D4ABE,17405|SH|2,Excellent
VH000092,CL000092,Renault,Duster,Duster Iconic,2020,SUV,Diesel,Manuelle,115,6,245000,148556.98,5,1280,1461,Blanc,5,VF13153E2CCFB2E9A,73655|SU|3,Bon
VH000093,CL000093,Volkswagen,Tiguan,Tiguan Intens,2012,SUV,Hybride,Automatique,150,8,476000,200169.04,5,1580,1968,Blanc,5,WVW2218AD1A80700F,00093-D-6,Bon
VH000094,CL000094,Audi,A4,A4 Business,2021,Berline,Diesel,Manuelle,150,9,485000,319654.54,5,1520,1968,Noir,4,WAUCDE3C1F93A9829,18595|PS|9,Correct
VH000095,CL000095,Toyota,Hilux,Hilux Intens,2020,Pick-up,Diesel,Manuelle,150,9,365000,221319.58,5,2050,2393,Beige,4,JTDCFA99C5C788D3D,18991|UH|3,Usé
VH000096,CL000096,Fiat,500,500 GT Line,2025,Citadine,Essence,Automatique,70,4,165000,145200.0,4,960,999,Vert,3,ZFA3347E6B9FAD692,00096-W-7,Correct
VH000097,CL000097,Hyundai,Tucson,Tucson Intens,2015,SUV,Hybride,Automatique,150,7,386400,195633.63,5,1520,1598,Marron,5,KMH7E8924D0EC33E2,84089|JF|1,Bon
VH000098,CL000098,Suzuki,Swift,Swift Business,2013,Citadine,Diesel,Automatique,83,4,155000,69341.59,5,950,1197,Blanc,5,JS22BFCC595DCAD95,97807|BU|5,Correct
VH000099,CL000099,Fiat,500,500 Active,2019,Citadine,Diesel,Manuelle,70,4,165000,92044.69,4,960,999,Beige,3,ZFA02DAF9BB8120AD,00099-H-3,Excellent
VH000100,CL000100,Dacia,Logan,Logan Intens,2020,Berline,Diesel,Automatique,90,5,135000,81857.93,5,1100,999,Marron,4,UU1190D470F49BB37,21945|ZH|7,Bon
VH000101,CL000101,Dacia,Spring,Spring Business,2022,Citadine,Électrique,Manuelle,45,2,162750,116592.95,4,970,0,Beige,5,UU18E31F554424279,60921|TZ|7,Excellent
VH000102,CL000102,Volkswagen,Golf,Golf Business,2022,Compacte,Hybride,Manuelle,110,6,352800,252743.44,5,1280,999,Rouge,5,WVW52C8F91CB76702,00102-W-8,Bon
VH000103,CL000103,Ford,Fiesta,Fiesta GT Line,2014,Citadine,Essence,Manuelle,85,5,195000,92804.46,5,1080,998,Gris,5,WF0CC3BE3EF8CF98A,68311|XD|6,Bon
VH000104,CL000104,Hyundai,i10,i10 Iconic,2012,Citadine,Essence,Automatique,67,4,145000,60975.86,5,920,998,Vert,5,KMHCE1EA076873E3B,27502|UM|3,Usé
VH000105,CL000105,Dacia,Sandero,Sandero Business,2018,Citadine,Diesel,Manuelle,65,4,125000,76196.12,5,1050,999,Bleu,5,UU1EFC1E96C8D1980,00105-W-8,Excellent
VH000106,CL000106,Kia,Rio,Rio Business,2018,Citadine,Diesel,Manuelle,100,5,185000,112770.25,5,1080,998,Noir,5,KNAF0999E3C83E589,50653|YD|2,Excellent
VH000107,CL000107,Nissan,Navara,Navara GT Line,2016,Pick-up,Diesel,Manuelle,163,9,385000,207366.82,5,2100,2298,Noir,4,JN14EDDB73546FE5A,84925|ML|1,Bon
VH000108,CL000108,Kia,Rio,Rio Business,2015,Citadine,Diesel,Automatique,100,5,185000,93665.17,5,1080,998,Rouge,5,KNA23B65441D7D2AB,00108-H-8,Excellent
VH000109,CL000109,Volkswagen,Polo,Polo Active,2012,Citadine,Diesel,Manuelle,95,5,225000,94617.72,5,1100,999,Rouge,5,WVW013DACA28FF1DA,79827|EJ|9,Bon
VH000110,CL000110,Renault,Megane IV,Megane IV GT Line,2024,Compacte,Hybride,Manuelle,130,7,319200,247188.48,5,1320,1332,Argent,5,VF17C5CF88504CC00,44294|UY|7,Excellent
VH000111,CL000111,Kia,Sportage,Sportage Intens,2018,SUV,Hybride,Manuelle,150,7,375200,228710.27,5,1480,1598,Noir,5,KNA9A6CBF8A205C13,00111-H-1,Usé
VH000112,CL000112,Hyundai,Tucson,Tucson GT Line,2021,SUV,Essence,Manuelle,150,7,345000,227383.13,5,1520,1598,Blanc,5,KMH728DCF9AA48138,69940|NX|8,Correct
VH000113,CL000113,Citroën,C5 Aircross,C5 Aircross GT Line,2025,SUV,Hybride,Automatique,130,7,386400,340032.0,5,1480,1199,Rouge,5,VF7C7733F6CD11F3A,20569|SP|7,Excellent
VH000114,CL000114,Dacia,Duster,Duster Business,2020,SUV,Diesel,Manuelle,90,5,195000,118239.23,5,1230,1461,Marron,5,UU1B1D9F8BCCE1945,00114-H-5,Correct
VH000115,CL000115,Dacia,Sandero,Sandero Active,2020,Citadine,Essence,Manuelle,65,4,125000,75794.38,5,1050,999,Rouge,5,UU148539D9D9AE423,26729|YD|3,Bon
VH000116,CL000116,Ford,Fiesta,Fiesta Active,2025,Citadine,Hybride,Manuelle,85,5,218400,192192.0,5,1080,998,Vert,5,WF09AFACCF1D134CE,34408|CU|2,Correct
VH000117,CL000117,BMW,Série 3,Série 3 Iconic,2025,Berline,Hybride,Manuelle,184,10,588000,517440.0,5,1520,1998,Vert,4,WBAE4F27C21DBF071,00117-A-2,Usé
VH000118,CL000118,Toyota,RAV4,RAV4 Business,2022,SUV,Essence,Manuelle,177,8,425000,304467.01,5,1580,2487,Bleu,5,JTD5D3DB23D68391A,70235|YF|2,Bon
VH000119,CL000119,Hyundai,Tucson,Tucson Iconic,2020,SUV,Hybride,Automatique,150,7,386400,234295.57,5,1520,1598,Blanc,5,KMHDD138126101757,95040|AT|9,Bon
VH000120,CL000120,BMW,X3,X3 Intens,2012,SUV,Hybride,Automatique,190,11,700000,294366.23,5,1780,1998,Blanc,5,WBAD2537996390D45,00120-B-7,Bon
VH000121,CL000121,Dacia,Duster,Duster Iconic,2023,SUV,Hybride,Manuelle,90,5,218400,148833.48,5,1230,1461,Bleu,5,UU13CECE73AAE706F,85745|BC|9,Bon
VH000122,CL000122,Toyota,Yaris,Yaris Intens,2015,Citadine,Diesel,Automatique,72,4,185000,93665.17,5,980,998,Bleu,5,JTD67FF2D9850E84C,61808|WP|3,Usé
VH000123,CL000123,Volkswagen,Polo,Polo Iconic,2020,Citadine,Essence,Manuelle,95,5,225000,136429.88,5,1100,999,Marron,5,WVW84B21AE22B5777,00123-A-6,Bon
VH000124,CL000124,Dacia,Logan,Logan Intens,2025,Berline,Essence,Manuelle,90,5,135000,118800.0,5,1100,999,Rouge,4,UU1EFCEA3AF0351D7,81018|TL|7,Correct
VH000125,CL000125,Peugeot,308,308 Business,2013,Compacte,Diesel,Manuelle,130,6,295000,131972.7,5,1280,1199,Bleu,5,VF37D27B8C18559BE,50866|RZ|8,Bon
VH000126,CL000126,Mercedes-Benz,GLC,GLC Active,2016,SUV,Hybride,Manuelle,197,10,767200,413225.52,5,1820,1991,Blanc,5,WDD147B85B921EDFB,00126-H-2,Excellent
VH000127,CL000127,Suzuki,Vitara,Vitara Business,2022,SUV,Essence,Manuelle,102,6,245000,175516.28,5,1180,1373,Argent,5,JS20831ED3C5EB808,38490|UE|1,Bon
VH000128,CL000128,Audi,A4,A4 Active,2013,Berline,Diesel,Automatique,150,9,485000,216972.07,5,1520,1968,Vert,4,WAU2D5A35B3D3FEEB,42248|JA|4,Bon
VH000129,CL000129,Kia,Rio,Rio Iconic,2017,Citadine,Diesel,Manuelle,100,5,185000,106004.04,5,1080,998,Marron,5,KNAF3228FC91BFC74,00129-C-6,Bon
VH000130,CL000130,BMW,Série 3,Série 3 Iconic,2019,Berline,Essence,Automatique,184,10,525000,292869.47,5,1520,1998,Marron,4,WBA2010F94312F7BA,20257|FA|1,Usé
VH000131,CL000131,BMW,X5,X5 GT Line,2013,SUV,Essence,Manuelle,265,14,895000,400391.76,5,2150,2998,Beige,5,WBAC6D72D8356B946,33035|ZE|5,Bon
VH000132,CL000132,Mercedes-Benz,Classe E,Classe E Active,2015,Berline,Essence,Manuelle,197,11,725000,367066.2,5,1680,1991,Gris,4,WDD2E8D9650B95979,00132-A-3,Correct
VH000133,CL000133,Renault,Megane IV,Megane IV Active,2012,Compacte,Diesel,Automatique,130,7,285000,119849.11,5,1320,1332,Bleu,5,VF1BB384A1DDA522E,47408|CY|5,Bon
VH000134,CL000134,Toyota,Yaris,Yaris Business,2025,Citadine,Essence,Manuelle,72,4,185000,162800.0,5,980,998,Argent,5,JTD586F7D4148110C,58075|CE|3,Bon
VH000135,CL000135,Renault,Captur,Captur Iconic,2020,SUV,Hybride,Automatique,110,6,296800,179966.16,5,1220,999,Marron,5,VF128881EDF947EEC,00135-T-7,Excellent
VH000136,CL000136,BMW,X5,X5 Business,2012,SUV,Essence,Automatique,265,14,895000,376368.26,5,2150,2998,Blanc,5,WBA8470E7DC00210E,99472|FZ|7,Bon
VH000137,CL000137,BMW,X5,X5 Intens,2020,SUV,Essence,Manuelle,265,14,895000,542687.73,5,2150,2998,Vert,5,WBAE29C410443B4FF,41729|XS|5,Excellent
VH000138,CL000138,Volkswagen,Passat,Passat Intens,2016,Berline,Essence,Manuelle,150,8,385000,207366.82,5,1480,1968,Bleu,4,WVWE6574A8503228F,00138-H-2,Bon
VH000139,CL000139,Nissan,Qashqai,Qashqai Active,2014,SUV,Essence,Automatique,140,7,325000,154674.1,5,1380,1332,Blanc,5,JN149EA2BA914B60B,88717|GY|4,Usé
VH000140,CL000140,Mercedes-Benz,GLC,GLC Intens,2025,SUV,Essence,Automatique,197,10,685000,602800.0,5,1820,1991,Beige,5,WDDD8B88C600B89CF,18906|LC|1,Usé
VH000141,CL000141,Nissan,Qashqai,Qashqai Iconic,2025,SUV,Essence,Manuelle,140,7,325000,286000.0,5,1380,1332,Gris,5,JN1BAFE5AC549489E,00141-T-4,Bon
VH000142,CL000142,Renault,Clio V,Clio V Intens,2012,Citadine,Diesel,Manuelle,90,5,185000,77796.79,5,1150,999,Argent,5,VF1AD7FA4278E65A8,84848|XU|4,Bon
