ClientID,Pack1,Score1,Pack2,Score2,Pack3,Score3,PrixEstime,Justification
CL000026,Eco,86.3,Bronze,84.2,Eco+,84.1,1965.43,Le bonus est excellent. Le stationnement en garage fermé réduit le risque vol. Le pack Eco est recommandé en priorité.
CL000027,Gold,99.0,Gold+,99.0,Premium,99.0,40887.94,Le conducteur roule beaucoup. L'historique de sinistres nécessite une couverture renforcée. La marque premium justifie une protection étendue. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol.
CL000028,Premium,99.0,Business,99.0,VIP,99.0,36739.0,Le véhicule possède une forte valeur. Le conducteur roule beaucoup. La marque premium justifie une protection étendue. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol.
CL000029,Premium,59.7,VIP,58.9,Gold+,57.8,33951.99,Le conducteur roule beaucoup. L'historique de sinistres nécessite une couverture renforcée. Le stationnement en garage fermé réduit le risque vol. Le pack Premium est recommandé en priorité.
CL000030,VIP,66.4,Premium,65.2,Business,64.0,29556.65,Le véhicule possède une forte valeur. La marque premium justifie une protection étendue. Le stationnement en garage fermé réduit le risque vol. Le pack VIP est recommandé en priorité.
CL000031,VIP,70.0,Gold+,69.2,Premium,66.0,51149.02,Le conducteur roule beaucoup. L'historique de sinistres nécessite une couverture renforcée. Le pack VIP est recommandé en priorité.
CL000032,Business,78.9,Premium,78.4,VIP,74.3,45499.56,Le conducteur roule beaucoup. L'usage professionnel requiert des garanties adaptées. Le pack Business est recommandé en priorité.
CL000033,Eco,84.1,Eco+,83.0,Bronze,68.1,5251.48,Le conducteur roule beaucoup. Le pack Eco est recommandé en priorité.
CL000034,Eco+,77.0,Eco,75.9,Silver,72.7,3845.57,La marque premium justifie une protection étendue. Le pack Eco+ est recommandé en priorité.
CL000035,Silver,76.2,Bronze,75.5,Eco+,75.1,7897.89,Le stationnement en garage fermé réduit le risque vol. Le pack Silver est recommandé en priorité.
CL000036,Eco+,67.9,Eco,66.7,Silver+,66.3,4985.95,Le véhicule possède une forte valeur. La marque premium justifie une protection étendue. Le stationnement en garage fermé réduit le risque vol. Le pack Eco+ est recommandé en priorité.
CL000037,Eco,65.7,Gold+,52.2,Silver+,52.0,4014.19,Le conducteur roule beaucoup. Le bonus est excellent. Le pack Eco est recommandé en priorité.
CL000038,Eco+,62.8,Eco,57.7,Silver,42.7,6780.24,Le stationnement en garage fermé réduit le risque vol. Le pack Eco+ est recommandé en priorité.
CL000039,Premium,91.1,Business,90.8,VIP,89.6,21153.56,Le véhicule possède une forte valeur. La marque premium justifie une protection étendue. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Premium est recommandé en priorité.
CL000040,Business,57.8,Gold,57.4,Premium,57.3,49494.15,L'historique de sinistres nécessite une couverture renforcée. Le stationnement en garage fermé réduit le risque vol. Le pack Business est recommandé en priorité.
CL000041,Business,77.7,Premium,76.1,VIP,73.1,23224.21,Le conducteur roule beaucoup. Le bonus est excellent. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Business est recommandé en priorité.
CL000042,Premium,66.8,Business,66.8,Gold+,66.2,16221.81,La marque premium justifie une protection étendue. Le stationnement en garage fermé réduit le risque vol. Le pack Premium est recommandé en priorité.
CL000043,Business,59.8,Premium,59.2,VIP,58.9,37258.28,Le conducteur roule beaucoup. L'historique de sinistres nécessite une couverture renforcée. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Business est recommandé en priorité.
CL000044,Gold+,99.0,Premium,99.0,Business,99.0,157372.6,Le véhicule possède une forte valeur. Le conducteur roule beaucoup. L'historique de sinistres nécessite une couverture renforcée. La marque premium justifie une protection étendue. L'usage professionnel requiert des garanties adaptées.
CL000045,Silver,77.4,Silver+,76.1,Gold+,74.2,6453.79,Le bonus est excellent. Le pack Silver est recommandé en priorité.
CL000046,Premium,58.4,Gold+,57.6,Business,55.6,23115.54,Le stationnement en garage fermé réduit le risque vol. Le pack Premium est recommandé en priorité.
CL000047,Premium,66.9,Eco,65.4,Business,64.3,13653.71,Le conducteur roule beaucoup. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Premium est recommandé en priorité.
CL000048,Premium,99.0,VIP,97.3,Gold+,97.2,30118.49,Le véhicule possède une forte valeur. Le conducteur roule beaucoup. La marque premium justifie une protection étendue. Le stationnement en garage fermé réduit le risque vol. Le pack Premium est recommandé en priorité.
CL000049,Eco,62.1,Business,51.4,VIP,51.2,3501.28,Le conducteur roule beaucoup. Le bonus est excellent. Le stationnement en garage fermé réduit le risque vol. Le pack Eco est recommandé en priorité.
CL000050,Eco+,66.8,Eco,65.9,Bronze,65.8,4975.97,Le stationnement en garage fermé réduit le risque vol. Le pack Eco+ est recommandé en priorité.
CL000051,Bronze,84.6,Eco,84.2,Eco+,82.4,3129.56,Le conducteur roule beaucoup. Le bonus est excellent. Le pack Bronze est recommandé en priorité.
CL000052,Gold+,99.0,Premium,99.0,Business,97.5,16313.85,Le véhicule possède une forte valeur. Le conducteur roule beaucoup. Le bonus est excellent. La marque premium justifie une protection étendue. Le stationnement en garage fermé réduit le risque vol.
CL000053,Silver,78.5,Gold+,67.2,Silver+,66.6,14371.13,Le pack Silver est recommandé en priorité.
CL000054,Gold+,74.4,Gold,72.8,VIP,72.0,23465.32,L'historique de sinistres nécessite une couverture renforcée. Le stationnement en garage fermé réduit le risque vol. Le pack Gold+ est recommandé en priorité.
CL000055,Eco,67.2,Silver+,67.2,Premium,66.3,3618.25,Le conducteur roule beaucoup. Le pack Eco est recommandé en priorité.
CL000056,Bronze,65.5,Eco+,65.4,Eco,62.3,4818.78,Le conducteur roule beaucoup. Le bonus est excellent. Le stationnement en garage fermé réduit le risque vol. Le pack Bronze est recommandé en priorité.
CL000057,Premium,98.4,Business,98.1,VIP,83.0,14414.32,Le conducteur roule beaucoup. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Premium est recommandé en priorité.
CL000058,Gold+,76.8,Business,74.3,Premium,73.4,28760.21,Le conducteur roule beaucoup. La marque premium justifie une protection étendue. L'usage professionnel requiert des garanties adaptées. Le pack Gold+ est recommandé en priorité.
CL000059,Eco+,97.3,Eco,96.3,Bronze,95.2,2549.84,Le stationnement en garage fermé réduit le risque vol. Le pack Eco+ est recommandé en priorité.
CL000060,Business,80.3,Gold+,79.8,Premium,79.8,11250.77,Le conducteur roule beaucoup. Le stationnement en garage fermé réduit le risque vol. Le pack Business est recommandé en priorité.
CL000061,Business,67.7,Premium,67.6,VIP,66.9,33842.61,Le véhicule possède une forte valeur. La marque premium justifie une protection étendue. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Business est recommandé en priorité.
CL000062,Eco,70.6,Eco+,69.7,Bronze,51.2,2984.53,Le bonus est excellent. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Eco est recommandé en priorité.
CL000063,Premium,78.0,Business,77.9,Gold,77.3,5993.34,Le conducteur roule beaucoup. Le bonus est excellent. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Premium est recommandé en priorité.
CL000064,Gold+,99.0,Premium,99.0,Business,99.0,12558.13,Le véhicule possède une forte valeur. Le bonus est excellent. La marque premium justifie une protection étendue. Le stationnement en garage fermé réduit le risque vol. Le pack Gold+ est recommandé en priorité.
CL000065,VIP,89.8,Premium,89.5,Business,89.2,84932.01,Le conducteur roule beaucoup. L'historique de sinistres nécessite une couverture renforcée. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack VIP est recommandé en priorité.
CL000066,Business,59.4,Premium,59.1,Gold+,56.2,36838.02,L'historique de sinistres nécessite une couverture renforcée. Le stationnement en garage fermé réduit le risque vol. Le pack Business est recommandé en priorité.
CL000067,Gold+,99.0,Premium,99.0,Business,99.0,37618.01,Le véhicule possède une forte valeur. Le conducteur roule beaucoup. L'historique de sinistres nécessite une couverture renforcée. La marque premium justifie une protection étendue. Le pack Gold+ est recommandé en priorité.
CL000068,Eco,60.9,Eco+,58.0,Bronze,41.0,4951.09,Le conducteur roule beaucoup. Le pack Eco est recommandé en priorité.
CL000069,Gold+,99.0,Business,97.3,Silver+,92.9,8981.97,Le véhicule possède une forte valeur. Le bonus est excellent. La marque premium justifie une protection étendue. Le stationnement en garage fermé réduit le risque vol. Le pack Gold+ est recommandé en priorité.
CL000070,Eco+,83.5,Bronze,82.3,Eco,82.2,1987.93,Le conducteur roule beaucoup. Le bonus est excellent. Le pack Eco+ est recommandé en priorité.
CL000071,Gold,59.6,Gold+,59.4,VIP,57.8,33416.81,L'historique de sinistres nécessite une couverture renforcée. Le stationnement en garage fermé réduit le risque vol. Le pack Gold est recommandé en priorité.
CL000072,Eco+,87.3,Eco,85.8,Bronze,83.6,2040.87,Le bonus est excellent. Le pack Eco+ est recommandé en priorité.
CL000073,Silver+,77.6,Premium,77.5,Gold,76.7,12942.54,Le conducteur roule beaucoup. Le pack Silver+ est recommandé en priorité.
CL000074,Eco,73.4,Gold+,67.2,Business,66.2,13815.31,Le conducteur roule beaucoup. L'historique de sinistres nécessite une couverture renforcée. Le stationnement en garage fermé réduit le risque vol. Le pack Eco est recommandé en priorité.
CL000075,Silver+,67.3,Gold+,66.4,Gold,65.8,10943.78,Le stationnement en garage fermé réduit le risque vol. Le pack Silver+ est recommandé en priorité.
CL000076,Business,78.8,Premium,78.0,Gold+,77.4,38161.96,Le véhicule possède une forte valeur. La marque premium justifie une protection étendue. L'usage professionnel requiert des garanties adaptées. Le pack Business est recommandé en priorité.
CL000077,Eco+,65.5,Eco,64.8,Bronze,49.1,7102.76,L'usage professionnel requiert des garanties adaptées. Le pack Eco+ est recommandé en priorité.
CL000078,Bronze,67.7,Eco,66.9,Silver,64.1,3878.07,Le bonus est excellent. Le stationnement en garage fermé réduit le risque vol. Le pack Bronze est recommandé en priorité.
CL000079,Gold,56.2,Gold+,55.2,Business,54.5,10826.29,Le conducteur roule beaucoup. Le bonus est excellent. Le stationnement en garage fermé réduit le risque vol. Le pack Gold est recommandé en priorité.
CL000080,Gold,67.5,Eco,66.8,Business,65.0,7167.01,L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Gold est recommandé en priorité.
CL000081,Gold+,58.0,Premium,57.8,Business,56.9,14026.65,Le véhicule possède une forte valeur. Le bonus est excellent. Le pack Gold+ est recommandé en priorité.
CL000082,Eco,67.6,Eco+,67.6,Gold,65.7,4574.3,Le pack Eco est recommandé en priorité.
CL000083,Eco,86.7,Business,82.7,Premium,80.1,8096.58,L'historique de sinistres nécessite une couverture renforcée. L'usage professionnel requiert des garanties adaptées. Le pack Eco est recommandé en priorité.
CL000084,Eco,92.3,Bronze,82.2,Eco+,79.3,4838.22,Le conducteur roule beaucoup. Le stationnement en garage fermé réduit le risque vol. Le pack Eco est recommandé en priorité.
CL000085,Premium,74.8,VIP,73.9,Gold+,73.0,21127.18,Le conducteur roule beaucoup. La marque premium justifie une protection étendue. Le pack Premium est recommandé en priorité.
CL000086,Eco,87.2,Eco+,84.3,Business,78.2,6910.22,Le conducteur roule beaucoup. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Eco est recommandé en priorité.
CL000087,Bronze,65.6,Eco+,62.7,Eco,62.6,4864.54,Le stationnement en garage fermé réduit le risque vol. Le pack Bronze est recommandé en priorité.
CL000088,Eco,74.4,Bronze,61.8,Eco+,58.4,6282.1,Le stationnement en garage fermé réduit le risque vol. Le pack Eco est recommandé en priorité.
CL000089,Gold,80.1,Silver,79.7,Silver+,77.8,10331.99,Le stationnement en garage fermé réduit le risque vol. Le pack Gold est recommandé en priorité.
CL000090,Eco,64.0,Eco+,49.3,Bronze,47.2,6135.76,Le conducteur roule beaucoup. Le stationnement en garage fermé réduit le risque vol. Le pack Eco est recommandé en priorité.
CL000091,Gold+,99.0,Premium,99.0,Business,99.0,37293.58,Le véhicule possède une forte valeur. L'historique de sinistres nécessite une couverture renforcée. La marque premium justifie une protection étendue. Le pack Gold+ est recommandé en priorité.
CL000092,Eco+,63.8,Eco,63.7,Premium,59.6,10132.58,L'historique de sinistres nécessite une couverture renforcée. Le pack Eco+ est recommandé en priorité.
CL000093,Silver+,99.0,Gold+,99.0,VIP,99.0,11374.86,Le conducteur roule beaucoup. Le bonus est excellent. L'usage professionnel requiert des garanties adaptées. Le pack Silver+ est recommandé en priorité.
CL000094,Premium,96.6,Gold+,95.1,Business,93.5,24386.29,Le véhicule possède une forte valeur. Le conducteur roule beaucoup. La marque premium justifie une protection étendue. Le stationnement en garage fermé réduit le risque vol. Le pack Premium est recommandé en priorité.
CL000095,Eco,75.7,Bronze,60.4,Eco+,59.4,8673.41,Le stationnement en garage fermé réduit le risque vol. Le pack Eco est recommandé en priorité.
CL000096,Premium,79.8,VIP,79.7,Business,77.8,37164.18,Le conducteur roule beaucoup. L'usage professionnel requiert des garanties adaptées. Le pack Premium est recommandé en priorité.
CL000097,Silver+,67.0,Silver,66.8,Eco+,65.7,11729.76,Le conducteur roule beaucoup. Le stationnement en garage fermé réduit le risque vol. Le pack Silver+ est recommandé en priorité.
CL000098,Eco+,84.3,Eco,82.4,Bronze,72.5,10881.98,Le conducteur roule beaucoup. L'historique de sinistres nécessite une couverture renforcée. Le stationnement en garage fermé réduit le risque vol. Le pack Eco+ est recommandé en priorité.
CL000099,Eco,86.2,Eco+,85.2,Bronze,84.8,2635.73,L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Eco est recommandé en priorité.
CL000100,Business,80.0,Premium,79.8,VIP,79.8,38511.75,Le conducteur roule beaucoup. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Business est recommandé en priorité.
CL000101,Premium,79.7,VIP,76.2,Business,75.6,18220.07,Le conducteur roule beaucoup. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Premium est recommandé en priorité.
CL000102,Gold,93.9,Gold+,90.7,Premium,90.3,19728.86,L'historique de sinistres nécessite une couverture renforcée. Le pack Gold est recommandé en priorité.
CL000103,Bronze,86.0,Eco+,85.0,Eco,82.7,13105.1,Le conducteur roule beaucoup. Le stationnement en garage fermé réduit le risque vol. Le pack Bronze est recommandé en priorité.
CL000104,Eco,85.5,Eco+,83.9,Bronze,83.8,4723.58,L'usage professionnel requiert des garanties adaptées. Le pack Eco est recommandé en priorité.
CL000105,Bronze,94.2,Eco,93.8,Business,92.8,6578.97,Le conducteur roule beaucoup. Le bonus est excellent. L'usage professionnel requiert des garanties adaptées. Le pack Bronze est recommandé en priorité.
CL000106,Gold,67.0,Eco,65.9,Premium,65.7,8758.03,L'usage professionnel requiert des garanties adaptées. Le pack Gold est recommandé en priorité.
CL000107,Eco,65.9,Bronze,49.5,Eco+,48.6,5386.57,Le stationnement en garage fermé réduit le risque vol. Le pack Eco est recommandé en priorité.
CL000108,Eco,69.0,Eco+,68.9,Bronze,50.7,4476.61,L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Eco est recommandé en priorité.
CL000109,Eco,86.6,Bronze,86.3,Eco+,85.0,3655.92,Le conducteur roule beaucoup. Le bonus est excellent. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Eco est recommandé en priorité.
CL000110,Premium,90.7,Gold+,90.3,Gold,89.3,25132.76,L'historique de sinistres nécessite une couverture renforcée. Le stationnement en garage fermé réduit le risque vol. Le pack Premium est recommandé en priorité.
CL000111,Premium,72.9,Business,72.5,Gold+,72.2,28600.34,L'historique de sinistres nécessite une couverture renforcée. L'usage professionnel requiert des garanties adaptées. Le pack Premium est recommandé en priorité.
CL000112,Silver,81.9,Gold,81.8,Business,81.8,7179.0,Le pack Silver est recommandé en priorité.
CL000113,Silver+,82.9,Gold,81.5,Silver,80.2,8369.82,Le véhicule possède une forte valeur. Le stationnement en garage fermé réduit le risque vol. Le pack Silver+ est recommandé en priorité.
CL000114,VIP,78.0,Premium,76.5,Gold,75.7,11937.3,Le bonus est excellent. Le stationnement en garage fermé réduit le risque vol. Le pack VIP est recommandé en priorité.
CL000115,Eco,86.7,Eco+,86.3,Bronze,82.4,3490.88,Le conducteur roule beaucoup. Le stationnement en garage fermé réduit le risque vol. Le pack Eco est recommandé en priorité.
CL000116,Gold+,87.8,VIP,87.3,Business,86.5,8792.84,Le conducteur roule beaucoup. Le bonus est excellent. Le stationnement en garage fermé réduit le risque vol. Le pack Gold+ est recommandé en priorité.
CL000117,Business,98.0,VIP,96.2,Premium,95.6,43596.78,Le véhicule possède une forte valeur. Le conducteur roule beaucoup. La marque premium justifie une protection étendue. Le stationnement en garage fermé réduit le risque vol. Le pack Business est recommandé en priorité.
CL000118,Eco,66.9,Eco+,66.6,Silver,63.4,5534.42,Le véhicule possède une forte valeur. Le conducteur roule beaucoup. Le stationnement en garage fermé réduit le risque vol. Le pack Eco est recommandé en priorité.
CL000119,Gold+,99.0,Gold,98.5,Premium,98.5,14726.92,Le conducteur roule beaucoup. Le bonus est excellent. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Gold+ est recommandé en priorité.
CL000120,Premium,93.9,Gold+,90.9,Business,90.1,65546.71,L'historique de sinistres nécessite une couverture renforcée. La marque premium justifie une protection étendue. Le stationnement en garage fermé réduit le risque vol. Le pack Premium est recommandé en priorité.
CL000121,Gold+,58.2,Premium,58.1,Business,56.3,19835.56,L'historique de sinistres nécessite une couverture renforcée. Le stationnement en garage fermé réduit le risque vol. Le pack Gold+ est recommandé en priorité.
CL000122,Eco+,87.0,Eco,84.5,Bronze,67.9,2718.58,Le stationnement en garage fermé réduit le risque vol. Le pack Eco+ est recommandé en priorité.
CL000123,Eco+,64.3,Eco,63.2,Bronze,48.5,7521.68,Le conducteur roule beaucoup. Le pack Eco+ est recommandé en priorité.
CL000124,Eco+,51.6,Eco,47.5,VIP,31.4,6204.46,L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Eco+ est recommandé en priorité.
CL000125,Eco+,64.7,Eco,62.1,Silver+,52.5,5167.08,Le stationnement en garage fermé réduit le risque vol. Le pack Eco+ est recommandé en priorité.
CL000126,Business,77.9,VIP,74.9,Gold+,72.2,26763.22,Le véhicule possède une forte valeur. La marque premium justifie une protection étendue. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Business est recommandé en priorité.
CL000127,Business,54.8,Gold+,52.7,Gold,51.4,32458.72,Le conducteur roule beaucoup. Le stationnement en garage fermé réduit le risque vol. Le pack Business est recommandé en priorité.
CL000128,Premium,99.0,VIP,91.3,Business,87.7,15935.51,La marque premium justifie une protection étendue. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Premium est recommandé en priorité.
CL000129,Gold+,68.0,Eco,67.9,Bronze,66.9,8152.6,Le stationnement en garage fermé réduit le risque vol. Le pack Gold+ est recommandé en priorité.
CL000130,Gold,77.1,Premium,75.2,Business,75.2,7205.16,Le bonus est excellent. La marque premium justifie une protection étendue. Le stationnement en garage fermé réduit le risque vol. Le pack Gold est recommandé en priorité.
CL000131,Premium,77.9,VIP,77.9,Business,76.0,32501.21,Le véhicule possède une forte valeur. La marque premium justifie une protection étendue. Le stationnement en garage fermé réduit le risque vol. Le pack Premium est recommandé en priorité.
CL000132,Premium,84.6,Gold+,84.4,Silver,81.5,16803.55,Le véhicule possède une forte valeur. La marque premium justifie une protection étendue. Le pack Premium est recommandé en priorité.
CL000133,Eco+,48.8,Eco,48.0,Business,42.4,3858.46,Le bonus est excellent. Le stationnement en garage fermé réduit le risque vol. Le pack Eco+ est recommandé en priorité.
CL000134,Eco+,67.8,Gold,67.2,Bronze,66.9,3626.31,L'usage professionnel requiert des garanties adaptées. Le pack Eco+ est recommandé en priorité.
CL000135,Eco,76.5,Business,69.5,VIP,66.9,10573.32,Le conducteur roule beaucoup. L'historique de sinistres nécessite une couverture renforcée. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Eco est recommandé en priorité.
CL000136,Business,94.5,Premium,93.6,Gold+,92.2,54231.41,Le véhicule possède une forte valeur. L'historique de sinistres nécessite une couverture renforcée. La marque premium justifie une protection étendue. Le stationnement en garage fermé réduit le risque vol. Le pack Business est recommandé en priorité.
CL000137,Gold+,77.3,Premium,76.6,VIP,74.6,17654.3,Le véhicule possède une forte valeur. La marque premium justifie une protection étendue. Le stationnement en garage fermé réduit le risque vol. Le pack Gold+ est recommandé en priorité.
CL000138,Gold+,75.0,Premium,70.9,Gold,70.6,26452.68,L'historique de sinistres nécessite une couverture renforcée. Le stationnement en garage fermé réduit le risque vol. Le pack Gold+ est recommandé en priorité.
CL000139,Premium,58.4,Gold,57.5,Business,55.0,39281.17,L'historique de sinistres nécessite une couverture renforcée. Le stationnement en garage fermé réduit le risque vol. Le pack Premium est recommandé en priorité.
CL000140,Premium,99.0,Business,99.0,VIP,99.0,50670.02,Le véhicule possède une forte valeur. La marque premium justifie une protection étendue. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Premium est recommandé en priorité.
CL000141,Eco+,52.9,Silver+,47.8,Business,47.8,8104.23,L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Eco+ est recommandé en priorité.
CL000142,Eco,83.7,Eco+,70.3,Bronze,48.4,3878.68,L'usage professionnel requiert des garanties adaptées. Le pack Eco est recommandé en priorité.
CL000143,Eco,66.4,Gold+,50.4,VIP,50.4,2713.65,Le conducteur roule beaucoup. Le bonus est excellent. Le stationnement en garage fermé réduit le risque vol. Le pack Eco est recommandé en priorité.
CL000144,Business,79.9,Premium,79.7,VIP,78.3,36239.28,Le conducteur roule beaucoup. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Business est recommandé en priorité.
CL000145,Gold+,99.0,Business,98.0,Premium,97.7,11823.92,Le conducteur roule beaucoup. Le bonus est excellent. La marque premium justifie une protection étendue. Le stationnement en garage fermé réduit le risque vol. Le pack Gold+ est recommandé en priorité.
CL000146,Eco,95.0,Eco+,92.1,Bronze,79.2,11027.69,Le conducteur roule beaucoup. L'historique de sinistres nécessite une couverture renforcée. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Eco est recommandé en priorité.
CL000147,Eco,63.7,Eco+,48.5,Gold,47.4,5311.14,L'usage professionnel requiert des garanties adaptées. Le pack Eco est recommandé en priorité.
CL000148,Eco+,67.0,Bronze,64.3,Business,63.9,8048.8,Le conducteur roule beaucoup. L'usage professionnel requiert des garanties adaptées. Le pack Eco+ est recommandé en priorité.
CL000149,Gold+,78.0,Premium,76.7,Business,76.3,27713.42,Le véhicule possède une forte valeur. La marque premium justifie une protection étendue. L'usage professionnel requiert des garanties adaptées. Le stationnement en garage fermé réduit le risque vol. Le pack Gold+ est recommandé en priorité.
