FAQID,Question,Categorie,Reponse,Tags,Priorite
FAQ00048,Puis-je payer mensuellement ? (variante 48),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00048.","Paiement,assurance auto,Maroc",1
FAQ00049,Comment contester un refus d'indemnisation ? (variante 49),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00049.,"Réclamations,assurance auto,Maroc",3
FAQ00050,Comment déclarer un sinistre ? (variante 50),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00050.,"Déclaration sinistre,assurance auto,Maroc",4
FAQ00051,Quel est le délai de déclaration d'un sinistre ? (variante 51),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00051.","Délais,assurance auto,Maroc",3
FAQ00052,Comment fonctionne le bonus-malus ? (variante 52),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00052.","Bonus Malus,assurance auto,Maroc",5
FAQ00053,Puis-je assurer une voiture neuve ? (variante 53),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00053.","Souscription,assurance auto,Maroc",3
FAQ00054,Quelle franchise choisir ? (variante 54),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00054.,"Franchise,assurance auto,Maroc",2
FAQ00055,Comment résilier mon contrat ? (variante 55),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00055.,"Résiliation,assurance auto,Maroc",2
FAQ00056,Le vol est-il couvert ? (variante 56),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00056.","Garanties,assurance auto,Maroc",3
FAQ00057,Quels documents pour souscrire ? (variante 57),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00057.","Souscription,assurance auto,Maroc",4
FAQ00058,Puis-je payer mensuellement ? (variante 58),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00058.","Paiement,assurance auto,Maroc",1
FAQ00059,Comment contester un refus d'indemnisation ? (variante 59),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00059.,"Réclamations,assurance auto,Maroc",2
FAQ00060,Comment déclarer un sinistre ? (variante 60),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00060.,"Déclaration sinistre,assurance auto,Maroc",5
FAQ00061,Quel est le délai de déclaration d'un sinistre ? (variante 61),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00061.","Délais,assurance auto,Maroc",3
FAQ00062,Comment fonctionne le bonus-malus ? (variante 62),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00062.","Bonus Malus,assurance auto,Maroc",1
FAQ00063,Puis-je assurer une voiture neuve ? (variante 63),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00063.","Souscription,assurance auto,Maroc",2
FAQ00064,Quelle franchise choisir ? (variante 64),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00064.,"Franchise,assurance auto,Maroc",4
FAQ00065,Comment résilier mon contrat ? (variante 65),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00065.,"Résiliation,assurance auto,Maroc",3
FAQ00066,Le vol est-il couvert ? (variante 66),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00066.","Garanties,assurance auto,Maroc",5
FAQ00067,Quels documents pour souscrire ? (variante 67),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00067.","Souscription,assurance auto,Maroc",5
FAQ00068,Puis-je payer mensuellement ? (variante 68),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00068.","Paiement,assurance auto,Maroc",2
FAQ00069,Comment contester un refus d'indemnisation ? (variante 69),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00069.,"Réclamations,assurance auto,Maroc",3
FAQ00070,Comment déclarer un sinistre ? (variante 70),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00070.,"Déclaration sinistre,assurance auto,Maroc",3
FAQ00071,Quel est le délai de déclaration d'un sinistre ? (variante 71),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00071.","Délais,assurance auto,Maroc",1
FAQ00072,Comment fonctionne le bonus-malus ? (variante 72),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00072.","Bonus Malus,assurance auto,Maroc",5
FAQ00073,Puis-je assurer une voiture neuve ? (variante 73),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00073.","Souscription,assurance auto,Maroc",2
FAQ00074,Quelle franchise choisir ? (variante 74),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00074.,"Franchise,assurance auto,Maroc",5
FAQ00075,Comment résilier mon contrat ? (variante 75),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00075.,"Résiliation,assurance auto,Maroc",2
FAQ00076,Le vol est-il couvert ? (variante 76),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00076.","Garanties,assurance auto,Maroc",4
FAQ00077,Quels documents pour souscrire ? (variante 77),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00077.","Souscription,assurance auto,Maroc",4
FAQ00078,Puis-je payer mensuellement ? (variante 78),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00078.","Paiement,assurance auto,Maroc",4
FAQ00079,Comment contester un refus d'indemnisation ? (variante 79),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00079.,"Réclamations,assurance auto,Maroc",1
FAQ00080,Comment déclarer un sinistre ? (variante 80),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00080.,"Déclaration sinistre,assurance auto,Maroc",3
FAQ00081,Quel est le délai de déclaration d'un sinistre ? (variante 81),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00081.","Délais,assurance auto,Maroc",1
FAQ00082,Comment fonctionne le bonus-malus ? (variante 82),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00082.","Bonus Malus,assurance auto,Maroc",1
FAQ00083,Puis-je assurer une voiture neuve ? (variante 83),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00083.","Souscription,assurance auto,Maroc",3
FAQ00084,Quelle franchise choisir ? (variante 84),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00084.,"Franchise,assurance auto,Maroc",4
FAQ00085,Comment résilier mon contrat ? (variante 85),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00085.,"Résiliation,assurance auto,Maroc",2
FAQ00086,Le vol est-il couvert ? (variante 86),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00086.","Garanties,assurance auto,Maroc",4
FAQ00087,Quels documents pour souscrire ? (variante 87),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00087.","Souscription,assurance auto,Maroc",5
FAQ00088,Puis-je payer mensuellement ? (variante 88),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00088.","Paiement,assurance auto,Maroc",1
FAQ00089,Comment contester un refus d'indemnisation ? (variante 89),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00089.,"Réclamations,assurance auto,Maroc",4
FAQ00090,Comment déclarer un sinistre ? (variante 90),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00090.,"Déclaration sinistre,assurance auto,Maroc",4
FAQ00091,Quel est le délai de déclaration d'un sinistre ? (variante 91),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00091.","Délais,assurance auto,Maroc",2
FAQ00092,Comment fonctionne le bonus-malus ? (variante 92),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00092.","Bonus Malus,assurance auto,Maroc",1
FAQ00093,Puis-je assurer une voiture neuve ? (variante 93),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00093.","Souscription,assurance auto,Maroc",4
FAQ00094,Quelle franchise choisir ? (variante 94),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00094.,"Franchise,assurance auto,Maroc",5
FAQ00095,Comment résilier mon contrat ? (variante 95),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00095.,"Résiliation,assurance auto,Maroc",2
FAQ00096,Le vol est-il couvert ? (variante 96),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00096.","Garanties,assurance auto,Maroc",5
FAQ00097,Quels documents pour souscrire ? (variante 97),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00097.","Souscription,assurance auto,Maroc",1
FAQ00098,Puis-je payer mensuellement ? (variante 98),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00098.","Paiement,assurance auto,Maroc",1
FAQ00099,Comment contester un refus d'indemnisation ? (variante 99),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00099.,"Réclamations,assurance auto,Maroc",4
FAQ00100,Comment déclarer un sinistre ? (variante 100),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00100.,"Déclaration sinistre,assurance auto,Maroc",1
FAQ00101,Quel est le délai de déclaration d'un sinistre ? (variante 101),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00101.","Délais,assurance auto,Maroc",1
FAQ00102,Comment fonctionne le bonus-malus ? (variante 102),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00102.","Bonus Malus,assurance auto,Maroc",2
FAQ00103,Puis-je assurer une voiture neuve ? (variante 103),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00103.","Souscription,assurance auto,Maroc",2
FAQ00104,Quelle franchise choisir ? (variante 104),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00104.,"Franchise,assurance auto,Maroc",5
FAQ00105,Comment résilier mon contrat ? (variante 105),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00105.,"Résiliation,assurance auto,Maroc",5
FAQ00106,Le vol est-il couvert ? (variante 106),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00106.","Garanties,assurance auto,Maroc",1
FAQ00107,Quels documents pour souscrire ? (variante 107),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00107.","Souscription,assurance auto,Maroc",1
FAQ00108,Puis-je payer mensuellement ? (variante 108),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00108.","Paiement,assurance auto,Maroc",5
FAQ00109,Comment contester un refus d'indemnisation ? (variante 109),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00109.,"Réclamations,assurance auto,Maroc",3
FAQ00110,Comment déclarer un sinistre ? (variante 110),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00110.,"Déclaration sinistre,assurance auto,Maroc",1
FAQ00111,Quel est le délai de déclaration d'un sinistre ? (variante 111),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00111.","Délais,assurance auto,Maroc",3
FAQ00112,Comment fonctionne le bonus-malus ? (variante 112),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00112.","Bonus Malus,assurance auto,Maroc",5
FAQ00113,Puis-je assurer une voiture neuve ? (variante 113),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00113.","Souscription,assurance auto,Maroc",1
FAQ00114,Quelle franchise choisir ? (variante 114),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00114.,"Franchise,assurance auto,Maroc",4
FAQ00115,Comment résilier mon contrat ? (variante 115),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00115.,"Résiliation,assurance auto,Maroc",2
FAQ00116,Le vol est-il couvert ? (variante 116),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00116.","Garanties,assurance auto,Maroc",3
FAQ00117,Quels documents pour souscrire ? (variante 117),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00117.","Souscription,assurance auto,Maroc",2
FAQ00118,Puis-je payer mensuellement ? (variante 118),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00118.","Paiement,assurance auto,Maroc",5
FAQ00119,Comment contester un refus d'indemnisation ? (variante 119),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00119.,"Réclamations,assurance auto,Maroc",3
FAQ00120,Comment déclarer un sinistre ? (variante 120),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00120.,"Déclaration sinistre,assurance auto,Maroc",3
FAQ00121,Quel est le délai de déclaration d'un sinistre ? (variante 121),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00121.","Délais,assurance auto,Maroc",5
FAQ00122,Comment fonctionne le bonus-malus ? (variante 122),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00122.","Bonus Malus,assurance auto,Maroc",2
FAQ00123,Puis-je assurer une voiture neuve ? (variante 123),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00123.","Souscription,assurance auto,Maroc",1
FAQ00124,Quelle franchise choisir ? (variante 124),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00124.,"Franchise,assurance auto,Maroc",4
FAQ00125,Comment résilier mon contrat ? (variante 125),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00125.,"Résiliation,assurance auto,Maroc",1
FAQ00126,Le vol est-il couvert ? (variante 126),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00126.","Garanties,assurance auto,Maroc",1
FAQ00127,Quels documents pour souscrire ? (variante 127),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00127.","Souscription,assurance auto,Maroc",2
FAQ00128,Puis-je payer mensuellement ? (variante 128),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00128.","Paiement,assurance auto,Maroc",1
FAQ00129,Comment contester un refus d'indemnisation ? (variante 129),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00129.,"Réclamations,assurance auto,Maroc",3
FAQ00130,Comment déclarer un sinistre ? (variante 130),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00130.,"Déclaration sinistre,assurance auto,Maroc",3
FAQ00131,Quel est le délai de déclaration d'un sinistre ? (variante 131),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00131.","Délais,assurance auto,Maroc",2
FAQ00132,Comment fonctionne le bonus-malus ? (variante 132),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00132.","Bonus Malus,assurance auto,Maroc",5
FAQ00133,Puis-je assurer une voiture neuve ? (variante 133),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00133.","Souscription,assurance auto,Maroc",2
FAQ00134,Quelle franchise choisir ? (variante 134),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00134.,"Franchise,assurance auto,Maroc",2
FAQ00135,Comment résilier mon contrat ? (variante 135),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00135.,"Résiliation,assurance auto,Maroc",5
