ContractID,ClientID,VehicleID,Pack,DateSouscription,DateExpiration,PrimeAnnuelle,PrimeMensuelle,Statut,Franchise,Paiement,Reduction,Taxes,MontantFinal
CT000053,CL000012,VH000012,Silver,2022-09-04,2023-09-04,6693.95,557.83,Résilié,1800,Mensuel,100.41,923.1,7516.64
CT000054,CL000012,VH000012,Gold+,2022-07-31,2023-07-31,9810.09,817.51,Résilié,1000,Mensuel,147.15,1352.81,11015.75
CT000055,CL000012,VH000012,VIP,2018-11-06,2019-11-06,16734.87,1394.57,Suspendu,500,Semestriel,251.02,2307.74,18791.59
CT000056,CL000012,VH000012,Silver+,2022-02-13,2023-02-13,7501.84,625.15,Expiré,1500,Annuel,112.53,1034.5,8423.81
CT000057,CL000012,VH000012,Silver+,2024-07-27,2025-07-27,7501.84,625.15,Actif,1500,Semestriel,112.53,1034.5,8423.81
CT000058,CL000013,VH000013,Gold,2019-06-10,2020-06-09,23221.49,1935.12,Expiré,1200,Annuel,1021.75,3107.96,25307.7
CT000059,CL000013,VH000013,Premium,2023-12-07,2024-12-06,29175.72,2431.31,Suspendu,800,Semestriel,1283.73,3904.88,31796.87
CT000060,CL000013,VH000013,Gold,2021-09-17,2022-09-17,23221.49,1935.12,Résilié,1200,Annuel,1021.75,3107.96,25307.7
CT000061,CL000013,VH000013,VIP,2021-07-13,2022-07-13,43168.15,3597.35,Suspendu,500,Mensuel,1899.4,5777.63,47046.38
CT000062,CL000013,VH000013,Silver+,2025-02-20,2026-02-20,19351.24,1612.6,Expiré,1500,Mensuel,851.45,2589.97,21089.76
CT000063,CL000013,VH000013,Eco,2022-03-30,2023-03-30,8335.92,694.66,Actif,3000,Semestriel,366.78,1115.68,9084.82
CT000064,CL000014,VH000014,Eco+,2022-10-27,2023-10-27,6518.25,543.19,Suspendu,2500,Trimestriel,840.85,794.84,6472.24
CT000065,CL000014,VH000014,Eco+,2023-07-21,2024-07-20,6518.25,543.19,Suspendu,2500,Mensuel,840.85,794.84,6472.24
CT000066,CL000014,VH000014,Gold+,2020-01-01,2020-12-31,17314.09,1442.84,Actif,1000,Mensuel,2233.52,2111.28,17191.85
CT000067,CL000015,VH000015,Eco,2023-05-28,2024-05-27,5668.52,472.38,Expiré,3000,Annuel,42.51,787.64,6413.65
CT000068,CL000015,VH000015,Eco+,2025-04-09,2026-04-09,6478.31,539.86,Expiré,2500,Annuel,48.59,900.16,7329.88
CT000069,CL000015,VH000015,Gold,2021-03-08,2022-03-08,15790.88,1315.91,Résilié,1200,Trimestriel,118.43,2194.14,17866.59
CT000070,CL000015,VH000015,Business,2024-05-20,2025-05-20,22674.09,1889.51,Actif,600,Annuel,170.06,3150.56,25654.59
CT000071,CL000016,VH000016,Business,2019-12-13,2020-12-12,14761.97,1230.16,Actif,600,Semestriel,1070.24,1916.84,15608.57
CT000072,CL000016,VH000016,Silver+,2023-06-05,2024-06-04,8567.21,713.93,Actif,1500,Semestriel,621.12,1112.45,9058.54
CT000073,CL000016,VH000016,Gold,2022-01-18,2023-01-18,10280.65,856.72,Suspendu,1200,Semestriel,745.35,1334.94,10870.24
CT000074,CL000016,VH000016,VIP,2022-04-22,2023-04-22,19111.47,1592.62,Résilié,500,Mensuel,1385.58,2481.62,20207.51
CT000075,CL000016,VH000016,Eco+,2025-05-19,2026-05-19,4217.7,351.47,Résilié,2500,Trimestriel,305.78,547.67,4459.59
CT000076,CL000016,VH000016,VIP,2025-03-21,2026-03-21,19111.47,1592.62,Suspendu,500,Semestriel,1385.58,2481.62,20207.51
CT000077,CL000016,VH000016,Eco+,2019-07-23,2020-07-22,4217.7,351.47,Suspendu,2500,Mensuel,305.78,547.67,4459.59
CT000078,CL000017,VH000017,Silver,2022-11-28,2023-11-28,8947.48,745.62,Expiré,1800,Annuel,120.79,1235.74,10062.43
CT000079,CL000017,VH000017,Gold,2019-11-12,2020-11-11,12032.81,1002.73,Expiré,1200,Semestriel,162.44,1661.85,13532.22
CT000080,CL000017,VH000017,Eco+,2018-06-15,2019-06-15,4936.54,411.38,Suspendu,2500,Annuel,66.64,681.79,5551.69
CT000081,CL000017,VH000017,Eco+,2019-02-12,2020-02-12,4936.54,411.38,Résilié,2500,Trimestriel,66.64,681.79,5551.69
CT000082,CL000017,VH000017,Silver,2018-06-23,2019-06-23,8947.48,745.62,Résilié,1800,Mensuel,120.79,1235.74,10062.43
CT000083,CL000017,VH000017,Eco+,2024-06-12,2025-06-12,4936.54,411.38,Expiré,2500,Mensuel,66.64,681.79,5551.69
CT000084,CL000017,VH000017,Eco,2020-03-05,2021-03-05,4319.47,359.96,Suspendu,3000,Annuel,58.31,596.56,4857.72
CT000085,CL000017,VH000017,Silver,2023-11-09,2024-11-08,8947.48,745.62,Suspendu,1800,Semestriel,120.79,1235.74,10062.43
CT000086,CL000018,VH000018,VIP,2023-12-29,2024-12-28,30532.97,2544.41,Actif,500,Semestriel,1511.38,4063.02,33084.61
CT000087,CL000018,VH000018,Eco+,2018-08-26,2019-08-26,6738.31,561.53,Suspendu,2500,Mensuel,333.55,896.67,7301.43
CT000088,CL000018,VH000018,Gold,2018-08-19,2019-08-19,16424.63,1368.72,Résilié,1200,Annuel,813.02,2185.63,17797.24
CT000089,CL000019,VH000019,Eco,2024-01-24,2025-01-23,4340.81,361.73,Actif,3000,Trimestriel,512.22,536.0,4364.59
CT000090,CL000019,VH000019,Bronze,2023-05-03,2024-05-02,6976.31,581.36,Expiré,2000,Annuel,823.2,861.44,7014.55
CT000091,CL000019,VH000019,Gold,2024-08-01,2025-08-01,12092.27,1007.69,Suspendu,1200,Trimestriel,1426.89,1493.15,12158.53
CT000092,CL000019,VH000019,Silver,2023-07-28,2024-07-27,8991.69,749.31,Résilié,1800,Annuel,1061.02,1110.29,9040.96
CT000093,CL000019,VH000019,Gold+,2024-07-31,2025-07-31,13177.47,1098.12,Expiré,1000,Mensuel,1554.94,1627.15,13249.68
CT000094,CL000019,VH000019,Silver,2020-07-06,2021-07-06,8991.69,749.31,Résilié,1800,Annuel,1061.02,1110.29,9040.96
CT000095,CL000019,VH000019,Bronze,2019-04-01,2020-03-31,6976.31,581.36,Suspendu,2000,Trimestriel,823.2,861.44,7014.55
CT000096,CL000020,VH000020,Eco+,2019-07-23,2020-07-22,4447.8,370.65,Actif,2500,Semestriel,624.92,535.2,4358.08
CT000097,CL000020,VH000020,Eco,2024-08-08,2025-08-08,3891.83,324.32,Actif,3000,Trimestriel,546.8,468.3,3813.33
CT000098,CL000021,VH000021,Eco,2024-09-10,2025-09-10,6064.1,505.34,Résilié,3000,Annuel,585.19,767.05,6245.96
CT000099,CL000021,VH000021,Eco+,2021-06-18,2022-06-18,6930.4,577.53,Expiré,2500,Annuel,668.78,876.63,7138.25
CT000100,CL000021,VH000021,Gold+,2018-11-19,2019-11-19,18408.87,1534.07,Résilié,1000,Mensuel,1776.46,2328.54,18960.95
CT000101,CL000021,VH000021,Silver+,2022-08-12,2023-08-12,14077.37,1173.11,Expiré,1500,Semestriel,1358.47,1780.65,14499.55
CT000102,CL000022,VH000022,Eco,2024-02-20,2025-02-19,9305.87,775.49,Expiré,3000,Annuel,274.52,1264.39,10295.74
CT000103,CL000022,VH000022,Gold+,2022-09-05,2023-09-05,28249.98,2354.16,Résilié,1000,Annuel,833.37,3838.33,31254.94
CT000104,CL000022,VH000022,Eco+,2024-10-22,2025-10-22,10635.28,886.27,Actif,2500,Mensuel,313.74,1445.02,11766.56
CT000105,CL000022,VH000022,Eco+,2021-12-07,2022-12-07,10635.28,886.27,Suspendu,2500,Semestriel,313.74,1445.02,11766.56
CT000106,CL000022,VH000022,Silver,2024-11-28,2025-11-28,19276.45,1606.37,Suspendu,1800,Mensuel,568.66,2619.09,21326.88
CT000107,CL000022,VH000022,Gold,2021-05-07,2022-05-07,25923.51,2160.29,Actif,1200,Trimestriel,764.74,3522.23,28681.0
CT000108,CL000022,VH000022,Premium,2023-03-05,2024-03-04,32570.56,2714.21,Actif,800,Trimestriel,960.83,4425.36,36035.09
CT000109,CL000022,VH000022,Eco,2018-11-13,2019-11-13,9305.87,775.49,Suspendu,3000,Semestriel,274.52,1264.39,10295.74
CT000110,CL000022,VH000022,Gold+,2023-04-17,2024-04-16,28249.98,2354.16,Suspendu,1000,Semestriel,833.37,3838.33,31254.94
CT000111,CL000023,VH000023,Eco,2020-11-02,2021-11-02,4213.62,351.13,Actif,3000,Annuel,122.19,572.8,4664.23
CT000112,CL000023,VH000023,Silver,2020-02-25,2021-02-24,8728.22,727.35,Suspendu,1800,Annuel,253.12,1186.51,9661.61
CT000113,CL000023,VH000023,VIP,2020-06-23,2021-06-23,21820.54,1818.38,Suspendu,500,Trimestriel,632.8,2966.28,24154.02
CT000114,CL000023,VH000023,Silver+,2023-09-27,2024-09-26,9781.62,815.14,Expiré,1500,Semestriel,283.67,1329.71,10827.66
CT000115,CL000023,VH000023,VIP,2020-09-02,2021-09-02,21820.54,1818.38,Suspendu,500,Semestriel,632.8,2966.28,24154.02
CT000116,CL000023,VH000023,Gold+,2019-12-02,2020-12-01,12791.35,1065.95,Suspendu,1000,Annuel,370.95,1738.86,14159.26
CT000117,CL000023,VH000023,Premium,2023-01-14,2024-01-14,14747.67,1228.97,Actif,800,Semestriel,427.68,2004.8,16324.79
CT000118,CL000023,VH000023,Premium,2020-10-06,2021-10-06,14747.67,1228.97,Suspendu,800,Mensuel,427.68,2004.8,16324.79
CT000119,CL000023,VH000023,Eco,2019-08-13,2020-08-12,4213.62,351.13,Actif,3000,Semestriel,122.19,572.8,4664.23
CT000120,CL000024,VH000024,Gold,2020-04-13,2021-04-13,7496.91,624.74,Actif,1200,Semestriel,168.68,1025.95,8354.18
CT000121,CL000024,VH000024,Gold,2018-04-03,2019-04-03,7496.91,624.74,Expiré,1200,Semestriel,168.68,1025.95,8354.18
CT000122,CL000024,VH000024,Silver+,2022-04-23,2023-04-23,6247.43,520.62,Résilié,1500,Mensuel,140.57,854.96,6961.82
CT000123,CL000024,VH000024,Business,2020-10-31,2021-10-31,10764.79,897.07,Suspendu,600,Trimestriel,242.21,1473.16,11995.74
CT000124,CL000025,VH000025,Premium,2025-04-03,2026-04-03,14626.14,1218.85,Suspendu,800,Mensuel,-131.64,2066.09,16823.87
CT000125,CL000025,VH000025,VIP,2018-12-25,2019-12-25,21640.72,1803.39,Résilié,500,Mensuel,-194.77,3056.97,24892.46
CT000126,CL000025,VH000025,Business,2023-06-27,2024-06-26,16715.59,1392.97,Résilié,600,Semestriel,-150.44,2361.24,19227.27
CT000127,CL000026,VH000026,Gold+,2021-04-21,2022-04-21,5515.02,459.59,Suspendu,1000,Trimestriel,281.27,732.73,5966.48
CT000128,CL000026,VH000026,Gold,2020-08-15,2021-08-15,5060.84,421.74,Résilié,1200,Annuel,258.1,672.38,5475.12
CT000129,CL000026,VH000026,Business,2018-12-18,2019-12-18,7266.85,605.57,Actif,600,Semestriel,370.61,965.47,7861.71
CT000130,CL000027,VH000027,VIP,2020-04-01,2021-04-01,66875.74,5572.98,Suspendu,500,Mensuel,200.63,9334.52,76009.63
CT000131,CL000027,VH000027,Silver+,2023-07-25,2024-07-24,29978.78,2498.23,Expiré,1500,Trimestriel,89.94,4184.44,34073.28
CT000132,CL000027,VH000027,Bronze,2023-10-15,2024-10-14,20754.54,1729.55,Suspendu,2000,Annuel,62.26,2896.92,23589.2
CT000133,CL000027,VH000027,Gold,2025-05-18,2026-05-18,35974.54,2997.88,Résilié,1200,Trimestriel,107.92,5021.33,40887.95
CT000134,CL000027,VH000027,Eco,2021-06-09,2022-06-09,12913.94,1076.16,Actif,3000,Trimestriel,38.74,1802.53,14677.73
CT000135,CL000028,VH000028,Eco+,2025-01-02,2026-01-02,11047.94,920.66,Suspendu,2500,Mensuel,524.78,1473.24,11996.4
CT000136,CL000028,VH000028,Silver+,2023-10-26,2024-10-25,22441.13,1870.09,Actif,1500,Trimestriel,1065.95,2992.53,24367.71
CT000137,CL000029,VH000029,Gold+,2023-06-21,2024-06-20,28246.82,2353.9,Suspendu,1000,Semestriel,2415.1,3616.44,29448.16
CT000138,CL000029,VH000029,Premium,2025-03-31,2026-03-31,32566.92,2713.91,Suspendu,800,Mensuel,2784.47,4169.54,33951.99
CT000139,CL000029,VH000029,Silver,2023-05-07,2024-05-06,19274.3,1606.19,Suspendu,1800,Mensuel,1647.95,2467.69,20094.04
CT000140,CL000029,VH000029,Eco,2022-06-06,2023-06-06,9304.83,775.4,Suspendu,3000,Annuel,795.56,1191.3,9700.57
CT000141,CL000030,VH000030,Gold,2023-05-14,2024-05-13,14385.64,1198.8,Résilié,1200,Semestriel,438.76,1952.56,15899.44
CT000142,CL000031,VH000031,Eco+,2021-01-18,2022-01-18,10192.29,849.36,Suspendu,2500,Trimestriel,290.48,1386.25,11288.06
CT000143,CL000031,VH000031,Eco+,2018-03-27,2019-03-27,10192.29,849.36,Expiré,2500,Trimestriel,290.48,1386.25,11288.06
CT000144,CL000031,VH000031,Eco+,2018-05-14,2019-05-14,10192.29,849.36,Résilié,2500,Mensuel,290.48,1386.25,11288.06
CT000145,CL000032,VH000032,Gold,2018-09-13,2019-09-13,28305.28,2358.77,Actif,1200,Trimestriel,509.5,3891.41,31687.19
CT000146,CL000032,VH000032,Business,2018-07-22,2019-07-22,40643.48,3386.96,Expiré,600,Semestriel,731.58,5587.67,45499.57
CT000147,CL000032,VH000032,Eco+,2018-07-07,2019-07-07,11612.42,967.7,Expiré,2500,Mensuel,209.02,1596.48,12999.88
CT000148,CL000032,VH000032,Silver,2021-05-17,2022-05-17,21047.52,1753.96,Suspendu,1800,Trimestriel,378.86,2893.61,23562.27
CT000149,CL000032,VH000032,Gold+,2021-03-22,2022-03-22,30845.5,2570.46,Expiré,1000,Semestriel,555.22,4240.64,34530.92
CT000150,CL000032,VH000032,Gold+,2019-07-18,2020-07-17,30845.5,2570.46,Suspendu,1000,Mensuel,555.22,4240.64,34530.92
CT000151,CL000032,VH000032,Gold+,2023-09-01,2024-08-31,30845.5,2570.46,Expiré,1000,Annuel,555.22,4240.64,34530.92
CT000152,CL000032,VH000032,Business,2019-04-13,2020-04-12,40643.48,3386.96,Expiré,600,Semestriel,731.58,5587.67,45499.57
CT000153,CL000033,VH000033,Gold+,2021-02-02,2022-02-02,13991.17,1165.93,Suspendu,1000,Trimestriel,7.0,1957.78,15941.95
CT000154,CL000033,VH000033,Bronze,2019-10-31,2020-10-30,7407.09,617.26,Expiré,2000,Trimestriel,3.7,1036.47,8439.86
CT000155,CL000033,VH000033,Business,2023-06-17,2024-06-16,18435.43,1536.29,Suspendu,600,Trimestriel,9.22,2579.67,21005.88
CT000156,CL000033,VH000033,Gold,2022-01-08,2023-01-08,12838.96,1069.91,Actif,1200,Semestriel,6.42,1796.56,14629.1
CT000157,CL000033,VH000033,VIP,2022-06-06,2023-06-06,23867.3,1988.94,Actif,500,Semestriel,11.93,3339.75,27195.12
CT000158,CL000034,VH000034,Silver,2022-03-09,2023-03-09,7151.02,595.92,Actif,1800,Trimestriel,1036.9,855.98,6970.1
CT000159,CL000034,VH000034,Silver,2022-12-27,2023-12-27,7151.02,595.92,Expiré,1800,Annuel,1036.9,855.98,6970.1
CT000160,CL000035,VH000035,VIP,2023-01-05,2024-01-05,19233.69,1602.81,Résilié,500,Annuel,1913.75,2424.79,19744.73
CT000161,CL000035,VH000035,VIP,2024-09-22,2025-09-22,19233.69,1602.81,Actif,500,Trimestriel,1913.75,2424.79,19744.73
CT000162,CL000035,VH000035,Silver+,2024-12-06,2025-12-06,8622.0,718.5,Expiré,1500,Semestriel,857.89,1086.98,8851.09
CT000163,CL000035,VH000035,Eco,2020-06-28,2021-06-28,3714.09,309.51,Actif,3000,Annuel,369.55,468.24,3812.78
CT000164,CL000035,VH000035,Eco+,2024-05-06,2025-05-06,4244.68,353.72,Expiré,2500,Semestriel,422.35,535.13,4357.46
CT000165,CL000035,VH000035,Business,2021-08-11,2022-08-11,14856.37,1238.03,Suspendu,600,Mensuel,1478.21,1872.94,15251.1
CT000166,CL000036,VH000036,Bronze,2021-01-30,2022-01-30,7098.01,591.5,Suspendu,2000,Trimestriel,947.58,861.06,7011.49
CT000167,CL000036,VH000036,Eco+,2024-04-29,2025-04-29,5047.48,420.62,Résilié,2500,Semestriel,673.84,612.31,4985.95
CT000168,CL000036,VH000036,Silver+,2025-01-18,2026-01-18,10252.69,854.39,Actif,1500,Annuel,1368.73,1243.75,10127.71
CT000169,CL000036,VH000036,Eco,2019-04-29,2020-04-28,4416.54,368.05,Expiré,3000,Annuel,589.61,535.77,4362.7
CT000170,CL000036,VH000036,Eco,2025-01-19,2026-01-19,4416.54,368.05,Suspendu,3000,Mensuel,589.61,535.77,4362.7
CT000171,CL000036,VH000036,Silver,2022-01-12,2023-01-12,9148.55,762.38,Expiré,1800,Mensuel,1221.33,1109.81,9037.03
CT000172,CL000036,VH000036,Gold+,2019-10-31,2020-10-30,13407.36,1117.28,Actif,1000,Mensuel,1789.88,1626.45,13243.93
CT000173,CL000036,VH000036,Business,2018-04-30,2019-04-30,17666.17,1472.18,Actif,600,Annuel,2358.43,2143.08,17450.82
CT000174,CL000036,VH000036,Premium,2020-12-12,2021-12-12,15457.9,1288.16,Suspendu,800,Trimestriel,2063.63,1875.2,15269.47
CT000175,CL000037,VH000037,Premium,2020-03-13,2021-03-13,13083.12,1090.26,Suspendu,800,Trimestriel,758.82,1725.4,14049.7
CT000176,CL000037,VH000037,Silver,2021-09-26,2022-09-26,7743.07,645.26,Expiré,1800,Trimestriel,449.1,1021.16,8315.13
CT000177,CL000037,VH000037,Eco,2020-06-07,2021-06-07,3738.03,311.5,Suspendu,3000,Semestriel,216.81,492.97,4014.19
CT000178,CL000037,VH000037,Silver+,2018-04-18,2019-04-18,8677.58,723.13,Résilié,1500,Trimestriel,503.3,1144.4,9318.68
CT000179,CL000037,VH000037,Eco,2021-04-12,2022-04-12,3738.03,311.5,Actif,3000,Annuel,216.81,492.97,4014.19
CT000180,CL000038,VH000038,Premium,2024-05-18,2025-05-18,19356.5,1613.04,Résilié,800,Trimestriel,1142.03,2550.03,20764.5
CT000181,CL000038,VH000038,Premium,2019-02-26,2020-02-26,19356.5,1613.04,Suspendu,800,Semestriel,1142.03,2550.03,20764.5
CT000182,CL000038,VH000038,VIP,2018-04-12,2019-04-12,28639.71,2386.64,Actif,500,Annuel,1689.74,3773.0,30722.97
CT000183,CL000038,VH000038,Gold,2019-07-26,2020-07-25,15406.19,1283.85,Suspendu,1200,Trimestriel,908.97,2029.61,16526.83
CT000184,CL000038,VH000038,Eco+,2018-07-10,2019-07-10,6320.49,526.71,Résilié,2500,Annuel,372.91,832.66,6780.24
CT000185,CL000038,VH000038,Silver,2022-07-27,2023-07-27,11455.89,954.66,Expiré,1800,Mensuel,675.9,1509.2,12289.19
CT000186,CL000039,VH000039,Bronze,2021-12-07,2022-12-07,9098.24,758.19,Suspendu,2000,Semestriel,577.74,1192.87,9713.37
CT000187,CL000039,VH000039,VIP,2019-01-20,2020-01-20,29316.55,2443.05,Expiré,500,Mensuel,1861.6,3843.69,31298.64
CT000188,CL000039,VH000039,VIP,2024-03-14,2025-03-14,29316.55,2443.05,Expiré,500,Semestriel,1861.6,3843.69,31298.64
CT000189,CL000039,VH000039,Premium,2024-09-26,2025-09-26,19813.94,1651.16,Expiré,800,Trimestriel,1258.19,2597.81,21153.56
CT000190,CL000039,VH000039,Gold+,2022-04-01,2023-04-01,17185.56,1432.13,Suspendu,1000,Trimestriel,1091.28,2253.2,18347.48
CT000191,CL000039,VH000039,Silver+,2023-11-18,2024-11-17,13141.9,1095.16,Actif,1500,Semestriel,834.51,1723.03,14030.42
CT000192,CL000039,VH000039,Gold,2021-12-07,2022-12-07,15770.28,1314.19,Résilié,1200,Mensuel,1001.41,2067.64,16836.51
CT000193,CL000039,VH000039,Business,2024-01-06,2025-01-05,22644.51,1887.04,Actif,600,Trimestriel,1437.93,2968.92,24175.5
CT000194,CL000040,VH000040,Business,2021-04-09,2022-04-09,43415.92,3617.99,Suspendu,600,Trimestriel,-0.0,6078.23,49494.15
CT000195,CL000040,VH000040,Gold,2023-01-16,2024-01-16,30236.09,2519.67,Actif,1200,Trimestriel,-0.0,4233.05,34469.14
