GarantieID,Nom,Pack,Plafond,Franchise,Description,Active
GA00052,Bris de glace sans franchise limité à 2 sinistres/an,Silver+,999999,1500,Bris de glace sans franchise limité à 2 sinistres/an. Applicable selon conditions générales CG-2026.,True
GA00053,Assistance 0 km 24h/24 au Maroc et en Europe,Gold+,50000,1500,Assistance 0 km 24h/24 au Maroc et en Europe. Applicable selon conditions générales CG-2026.,True
GA00054,Véhicule de remplacement 7 jours en cas d'accident,Eco+,500000,1500,Véhicule de remplacement 7 jours en cas d'accident. Applicable selon conditions générales CG-2026.,True
GA00055,Protection juridique jusqu'à 15 000 MAD,Premium,500000,3000,Protection juridique jusqu'à 15 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00056,Catastrophes naturelles et technologiques,Eco,500000,1000,Catastrophes naturelles et technologiques. Applicable selon conditions générales CG-2026.,True
GA00057,Dommages tous accidents avec franchise modulable,Bronze,500000,500,Dommages tous accidents avec franchise modulable. Applicable selon conditions générales CG-2026.,True
GA00058,Incendie et explosion du véhicule,Gold+,100000,3000,Incendie et explosion du véhicule. Applicable selon conditions générales CG-2026.,True
GA00059,Vol avec effraction et agression,Bronze,100000,1000,Vol avec effraction et agression. Applicable selon conditions générales CG-2026.,True
GA00060,Responsabilité civile illimitée en dommages corporels,Business,999999,2000,Responsabilité civile illimitée en dommages corporels. Applicable selon conditions générales CG-2026.,True
GA00061,Dommages corporels du conducteur jusqu'à 500 000 MAD,Bronze,100000,3000,Dommages corporels du conducteur jusqu'à 500 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00062,Bris de glace sans franchise limité à 2 sinistres/an,Gold+,100000,1500,Bris de glace sans franchise limité à 2 sinistres/an. Applicable selon conditions générales CG-2026.,True
GA00063,Assistance 0 km 24h/24 au Maroc et en Europe,Bronze,999999,0,Assistance 0 km 24h/24 au Maroc et en Europe. Applicable selon conditions générales CG-2026.,True
GA00064,Véhicule de remplacement 7 jours en cas d'accident,Eco+,200000,1500,Véhicule de remplacement 7 jours en cas d'accident. Applicable selon conditions générales CG-2026.,True
GA00065,Protection juridique jusqu'à 15 000 MAD,Bronze,500000,1500,Protection juridique jusqu'à 15 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00066,Catastrophes naturelles et technologiques,Eco,200000,2000,Catastrophes naturelles et technologiques. Applicable selon conditions générales CG-2026.,True
GA00067,Dommages tous accidents avec franchise modulable,Bronze,50000,3000,Dommages tous accidents avec franchise modulable. Applicable selon conditions générales CG-2026.,True
GA00068,Incendie et explosion du véhicule,Gold,200000,2000,Incendie et explosion du véhicule. Applicable selon conditions générales CG-2026.,True
GA00069,Vol avec effraction et agression,Eco+,200000,1000,Vol avec effraction et agression. Applicable selon conditions générales CG-2026.,True
GA00070,Responsabilité civile illimitée en dommages corporels,Gold+,100000,500,Responsabilité civile illimitée en dommages corporels. Applicable selon conditions générales CG-2026.,True
GA00071,Dommages corporels du conducteur jusqu'à 500 000 MAD,Bronze,500000,500,Dommages corporels du conducteur jusqu'à 500 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00072,Bris de glace sans franchise limité à 2 sinistres/an,Eco,999999,500,Bris de glace sans franchise limité à 2 sinistres/an. Applicable selon conditions générales CG-2026.,True
GA00073,Assistance 0 km 24h/24 au Maroc et en Europe,Gold,500000,3000,Assistance 0 km 24h/24 au Maroc et en Europe. Applicable selon conditions générales CG-2026.,True
GA00074,Véhicule de remplacement 7 jours en cas d'accident,Silver,200000,1500,Véhicule de remplacement 7 jours en cas d'accident. Applicable selon conditions générales CG-2026.,True
GA00075,Protection juridique jusqu'à 15 000 MAD,Premium,100000,2000,Protection juridique jusqu'à 15 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00076,Catastrophes naturelles et technologiques,Silver,100000,500,Catastrophes naturelles et technologiques. Applicable selon conditions générales CG-2026.,True
GA00077,Dommages tous accidents avec franchise modulable,Gold+,100000,2000,Dommages tous accidents avec franchise modulable. Applicable selon conditions générales CG-2026.,True
GA00078,Incendie et explosion du véhicule,Bronze,50000,500,Incendie et explosion du véhicule. Applicable selon conditions générales CG-2026.,True
GA00079,Vol avec effraction et agression,VIP,100000,1000,Vol avec effraction et agression. Applicable selon conditions générales CG-2026.,True
GA00080,Responsabilité civile illimitée en dommages corporels,Eco+,100000,3000,Responsabilité civile illimitée en dommages corporels. Applicable selon conditions générales CG-2026.,True
GA00081,Dommages corporels du conducteur jusqu'à 500 000 MAD,Silver,200000,0,Dommages corporels du conducteur jusqu'à 500 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00082,Bris de glace sans franchise limité à 2 sinistres/an,Silver+,100000,500,Bris de glace sans franchise limité à 2 sinistres/an. Applicable selon conditions générales CG-2026.,True
GA00083,Assistance 0 km 24h/24 au Maroc et en Europe,Business,50000,3000,Assistance 0 km 24h/24 au Maroc et en Europe. Applicable selon conditions générales CG-2026.,True
GA00084,Véhicule de remplacement 7 jours en cas d'accident,Eco,999999,1500,Véhicule de remplacement 7 jours en cas d'accident. Applicable selon conditions générales CG-2026.,True
GA00085,Protection juridique jusqu'à 15 000 MAD,VIP,999999,0,Protection juridique jusqu'à 15 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00086,Catastrophes naturelles et technologiques,Bronze,100000,3000,Catastrophes naturelles et technologiques. Applicable selon conditions générales CG-2026.,True
GA00087,Dommages tous accidents avec franchise modulable,Gold+,100000,3000,Dommages tous accidents avec franchise modulable. Applicable selon conditions générales CG-2026.,True
GA00088,Incendie et explosion du véhicule,Eco,999999,1500,Incendie et explosion du véhicule. Applicable selon conditions générales CG-2026.,True
GA00089,Vol avec effraction et agression,Bronze,50000,500,Vol avec effraction et agression. Applicable selon conditions générales CG-2026.,True
GA00090,Responsabilité civile illimitée en dommages corporels,Gold,50000,0,Responsabilité civile illimitée en dommages corporels. Applicable selon conditions générales CG-2026.,True
GA00091,Dommages corporels du conducteur jusqu'à 500 000 MAD,Premium,50000,1000,Dommages corporels du conducteur jusqu'à 500 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00092,Bris de glace sans franchise limité à 2 sinistres/an,Eco,50000,0,Bris de glace sans franchise limité à 2 sinistres/an. Applicable selon conditions générales CG-2026.,True
GA00093,Assistance 0 km 24h/24 au Maroc et en Europe,Premium,999999,0,Assistance 0 km 24h/24 au Maroc et en Europe. Applicable selon conditions générales CG-2026.,True
GA00094,Véhicule de remplacement 7 jours en cas d'accident,Eco+,200000,3000,Véhicule de remplacement 7 jours en cas d'accident. Applicable selon conditions générales CG-2026.,True
GA00095,Protection juridique jusqu'à 15 000 MAD,Silver,500000,1500,Protection juridique jusqu'à 15 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00096,Catastrophes naturelles et technologiques,Gold,999999,2000,Catastrophes naturelles et technologiques. Applicable selon conditions générales CG-2026.,True
GA00097,Dommages tous accidents avec franchise modulable,Eco,500000,500,Dommages tous accidents avec franchise modulable. Applicable selon conditions générales CG-2026.,True
GA00098,Incendie et explosion du véhicule,Silver,999999,2000,Incendie et explosion du véhicule. Applicable selon conditions générales CG-2026.,True
GA00099,Vol avec effraction et agression,Premium,999999,0,Vol avec effraction et agression. Applicable selon conditions générales CG-2026.,True
GA00100,Responsabilité civile illimitée en dommages corporels,Silver,999999,1000,Responsabilité civile illimitée en dommages corporels. Applicable selon conditions générales CG-2026.,True
GA00101,Dommages corporels du conducteur jusqu'à 500 000 MAD,Eco,100000,1000,Dommages corporels du conducteur jusqu'à 500 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00102,Bris de glace sans franchise limité à 2 sinistres/an,Eco,500000,2000,Bris de glace sans franchise limité à 2 sinistres/an. Applicable selon conditions générales CG-2026.,True
GA00103,Assistance 0 km 24h/24 au Maroc et en Europe,VIP,100000,3000,Assistance 0 km 24h/24 au Maroc et en Europe. Applicable selon conditions générales CG-2026.,True
GA00104,Véhicule de remplacement 7 jours en cas d'accident,Business,999999,500,Véhicule de remplacement 7 jours en cas d'accident. Applicable selon conditions générales CG-2026.,True
GA00105,Protection juridique jusqu'à 15 000 MAD,VIP,500000,3000,Protection juridique jusqu'à 15 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00106,Catastrophes naturelles et technologiques,Silver,500000,1000,Catastrophes naturelles et technologiques. Applicable selon conditions générales CG-2026.,True
GA00107,Dommages tous accidents avec franchise modulable,Business,500000,1000,Dommages tous accidents avec franchise modulable. Applicable selon conditions générales CG-2026.,True
GA00108,Incendie et explosion du véhicule,Gold+,100000,3000,Incendie et explosion du véhicule. Applicable selon conditions générales CG-2026.,True
GA00109,Vol avec effraction et agression,Bronze,500000,3000,Vol avec effraction et agression. Applicable selon conditions générales CG-2026.,True
GA00110,Responsabilité civile illimitée en dommages corporels,Premium,100000,2000,Responsabilité civile illimitée en dommages corporels. Applicable selon conditions générales CG-2026.,True
GA00111,Dommages corporels du conducteur jusqu'à 500 000 MAD,Eco+,50000,500,Dommages corporels du conducteur jusqu'à 500 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00112,Bris de glace sans franchise limité à 2 sinistres/an,Business,100000,0,Bris de glace sans franchise limité à 2 sinistres/an. Applicable selon conditions générales CG-2026.,True
GA00113,Assistance 0 km 24h/24 au Maroc et en Europe,Eco,100000,1000,Assistance 0 km 24h/24 au Maroc et en Europe. Applicable selon conditions générales CG-2026.,True
GA00114,Véhicule de remplacement 7 jours en cas d'accident,Business,500000,0,Véhicule de remplacement 7 jours en cas d'accident. Applicable selon conditions générales CG-2026.,True
GA00115,Protection juridique jusqu'à 15 000 MAD,Gold+,500000,2000,Protection juridique jusqu'à 15 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00116,Catastrophes naturelles et technologiques,Bronze,200000,1500,Catastrophes naturelles et technologiques. Applicable selon conditions générales CG-2026.,True
GA00117,Dommages tous accidents avec franchise modulable,Business,100000,500,Dommages tous accidents avec franchise modulable. Applicable selon conditions générales CG-2026.,True
GA00118,Incendie et explosion du véhicule,Bronze,50000,3000,Incendie et explosion du véhicule. Applicable selon conditions générales CG-2026.,True
GA00119,Vol avec effraction et agression,Gold+,200000,1000,Vol avec effraction et agression. Applicable selon conditions générales CG-2026.,True
GA00120,Responsabilité civile illimitée en dommages corporels,Eco,500000,2000,Responsabilité civile illimitée en dommages corporels. Applicable selon conditions générales CG-2026.,True
GA00121,Dommages corporels du conducteur jusqu'à 500 000 MAD,Silver,50000,500,Dommages corporels du conducteur jusqu'à 500 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00122,Bris de glace sans franchise limité à 2 sinistres/an,Bronze,999999,3000,Bris de glace sans franchise limité à 2 sinistres/an. Applicable selon conditions générales CG-2026.,True
GA00123,Assistance 0 km 24h/24 au Maroc et en Europe,Premium,200000,1500,Assistance 0 km 24h/24 au Maroc et en Europe. Applicable selon conditions générales CG-2026.,True
GA00124,Véhicule de remplacement 7 jours en cas d'accident,VIP,500000,3000,Véhicule de remplacement 7 jours en cas d'accident. Applicable selon conditions générales CG-2026.,True
GA00125,Protection juridique jusqu'à 15 000 MAD,Eco,50000,500,Protection juridique jusqu'à 15 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00126,Catastrophes naturelles et technologiques,Bronze,999999,3000,Catastrophes naturelles et technologiques. Applicable selon conditions générales CG-2026.,True
GA00127,Dommages tous accidents avec franchise modulable,Business,200000,500,Dommages tous accidents avec franchise modulable. Applicable selon conditions générales CG-2026.,True
GA00128,Incendie et explosion du véhicule,Silver,100000,2000,Incendie et explosion du véhicule. Applicable selon conditions générales CG-2026.,True
GA00129,Vol avec effraction et agression,Silver,200000,1000,Vol avec effraction et agression. Applicable selon conditions générales CG-2026.,True
GA00130,Responsabilité civile illimitée en dommages corporels,VIP,100000,0,Responsabilité civile illimitée en dommages corporels. Applicable selon conditions générales CG-2026.,True
GA00131,Dommages corporels du conducteur jusqu'à 500 000 MAD,Gold+,999999,0,Dommages corporels du conducteur jusqu'à 500 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00132,Bris de glace sans franchise limité à 2 sinistres/an,VIP,500000,1000,Bris de glace sans franchise limité à 2 sinistres/an. Applicable selon conditions générales CG-2026.,True
GA00133,Assistance 0 km 24h/24 au Maroc et en Europe,Bronze,100000,500,Assistance 0 km 24h/24 au Maroc et en Europe. Applicable selon conditions générales CG-2026.,True
GA00134,Véhicule de remplacement 7 jours en cas d'accident,Bronze,200000,1000,Véhicule de remplacement 7 jours en cas d'accident. Applicable selon conditions générales CG-2026.,True
GA00135,Protection juridique jusqu'à 15 000 MAD,Bronze,500000,1500,Protection juridique jusqu'à 15 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00136,Catastrophes naturelles et technologiques,Gold+,200000,1000,Catastrophes naturelles et technologiques. Applicable selon conditions générales CG-2026.,True
GA00137,Dommages tous accidents avec franchise modulable,Eco,500000,0,Dommages tous accidents avec franchise modulable. Applicable selon conditions générales CG-2026.,True
GA00138,Incendie et explosion du véhicule,Gold,50000,2000,Incendie et explosion du véhicule. Applicable selon conditions générales CG-2026.,True
GA00139,Vol avec effraction et agression,VIP,999999,1500,Vol avec effraction et agression. Applicable selon conditions générales CG-2026.,True
GA00140,Responsabilité civile illimitée en dommages corporels,VIP,500000,0,Responsabilité civile illimitée en dommages corporels. Applicable selon conditions générales CG-2026.,True
GA00141,Dommages corporels du conducteur jusqu'à 500 000 MAD,Eco,200000,2000,Dommages corporels du conducteur jusqu'à 500 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00142,Bris de glace sans franchise limité à 2 sinistres/an,Eco,500000,2000,Bris de glace sans franchise limité à 2 sinistres/an. Applicable selon conditions générales CG-2026.,True
GA00143,Assistance 0 km 24h/24 au Maroc et en Europe,Gold+,500000,1000,Assistance 0 km 24h/24 au Maroc et en Europe. Applicable selon conditions générales CG-2026.,True
GA00144,Véhicule de remplacement 7 jours en cas d'accident,Eco+,100000,3000,Véhicule de remplacement 7 jours en cas d'accident. Applicable selon conditions générales CG-2026.,True
GA00145,Protection juridique jusqu'à 15 000 MAD,VIP,100000,2000,Protection juridique jusqu'à 15 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00146,Catastrophes naturelles et technologiques,Gold+,200000,500,Catastrophes naturelles et technologiques. Applicable selon conditions générales CG-2026.,True
GA00147,Dommages tous accidents avec franchise modulable,Eco,200000,500,Dommages tous accidents avec franchise modulable. Applicable selon conditions générales CG-2026.,True
GA00148,Incendie et explosion du véhicule,Silver+,500000,1000,Incendie et explosion du véhicule. Applicable selon conditions générales CG-2026.,True
GA00149,Vol avec effraction et agression,Silver,50000,500,Vol avec effraction et agression. Applicable selon conditions générales CG-2026.,True
GA00150,Responsabilité civile illimitée en dommages corporels,Gold,999999,500,Responsabilité civile illimitée en dommages corporels. Applicable selon conditions générales CG-2026.,True
GA00151,Dommages corporels du conducteur jusqu'à 500 000 MAD,Premium,500000,0,Dommages corporels du conducteur jusqu'à 500 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00152,Bris de glace sans franchise limité à 2 sinistres/an,Gold+,999999,3000,Bris de glace sans franchise limité à 2 sinistres/an. Applicable selon conditions générales CG-2026.,True
GA00153,Assistance 0 km 24h/24 au Maroc et en Europe,Gold+,200000,2000,Assistance 0 km 24h/24 au Maroc et en Europe. Applicable selon conditions générales CG-2026.,True
GA00154,Véhicule de remplacement 7 jours en cas d'accident,Bronze,50000,1000,Véhicule de remplacement 7 jours en cas d'accident. Applicable selon conditions générales CG-2026.,True
GA00155,Protection juridique jusqu'à 15 000 MAD,Gold+,50000,1000,Protection juridique jusqu'à 15 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00156,Catastrophes naturelles et technologiques,Bronze,50000,1500,Catastrophes naturelles et technologiques. Applicable selon conditions générales CG-2026.,True
GA00157,Dommages tous accidents avec franchise modulable,Business,50000,0,Dommages tous accidents avec franchise modulable. Applicable selon conditions générales CG-2026.,True
GA00158,Incendie et explosion du véhicule,Premium,50000,2000,Incendie et explosion du véhicule. Applicable selon conditions générales CG-2026.,True
GA00159,Vol avec effraction et agression,Eco,999999,500,Vol avec effraction et agression. Applicable selon conditions générales CG-2026.,True
GA00160,Responsabilité civile illimitée en dommages corporels,Business,100000,1500,Responsabilité civile illimitée en dommages corporels. Applicable selon conditions générales CG-2026.,True
GA00161,Dommages corporels du conducteur jusqu'à 500 000 MAD,Eco+,200000,1500,Dommages corporels du conducteur jusqu'à 500 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00162,Bris de glace sans franchise limité à 2 sinistres/an,Premium,200000,1000,Bris de glace sans franchise limité à 2 sinistres/an. Applicable selon conditions générales CG-2026.,True
GA00163,Assistance 0 km 24h/24 au Maroc et en Europe,Eco,999999,1500,Assistance 0 km 24h/24 au Maroc et en Europe. Applicable selon conditions générales CG-2026.,True
GA00164,Véhicule de remplacement 7 jours en cas d'accident,Gold,200000,1000,Véhicule de remplacement 7 jours en cas d'accident. Applicable selon conditions générales CG-2026.,True
GA00165,Protection juridique jusqu'à 15 000 MAD,Premium,500000,0,Protection juridique jusqu'à 15 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00166,Catastrophes naturelles et technologiques,Silver+,500000,3000,Catastrophes naturelles et technologiques. Applicable selon conditions générales CG-2026.,True
GA00167,Dommages tous accidents avec franchise modulable,Silver+,50000,1500,Dommages tous accidents avec franchise modulable. Applicable selon conditions générales CG-2026.,True
GA00168,Incendie et explosion du véhicule,Eco+,500000,2000,Incendie et explosion du véhicule. Applicable selon conditions générales CG-2026.,True
GA00169,Vol avec effraction et agression,Bronze,200000,1000,Vol avec effraction et agression. Applicable selon conditions générales CG-2026.,True
GA00170,Responsabilité civile illimitée en dommages corporels,Eco,50000,3000,Responsabilité civile illimitée en dommages corporels. Applicable selon conditions générales CG-2026.,True
GA00171,Dommages corporels du conducteur jusqu'à 500 000 MAD,Gold+,999999,500,Dommages corporels du conducteur jusqu'à 500 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00172,Bris de glace sans franchise limité à 2 sinistres/an,Silver,50000,1000,Bris de glace sans franchise limité à 2 sinistres/an. Applicable selon conditions générales CG-2026.,True
GA00173,Assistance 0 km 24h/24 au Maroc et en Europe,Silver,50000,2000,Assistance 0 km 24h/24 au Maroc et en Europe. Applicable selon conditions générales CG-2026.,True
GA00174,Véhicule de remplacement 7 jours en cas d'accident,Eco,999999,500,Véhicule de remplacement 7 jours en cas d'accident. Applicable selon conditions générales CG-2026.,True
GA00175,Protection juridique jusqu'à 15 000 MAD,Gold,500000,0,Protection juridique jusqu'à 15 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00176,Catastrophes naturelles et technologiques,VIP,100000,1500,Catastrophes naturelles et technologiques. Applicable selon conditions générales CG-2026.,True
GA00177,Dommages tous accidents avec franchise modulable,Eco+,999999,0,Dommages tous accidents avec franchise modulable. Applicable selon conditions générales CG-2026.,True
GA00178,Incendie et explosion du véhicule,Eco,200000,1000,Incendie et explosion du véhicule. Applicable selon conditions générales CG-2026.,True
GA00179,Vol avec effraction et agression,VIP,100000,2000,Vol avec effraction et agression. Applicable selon conditions générales CG-2026.,True
GA00180,Responsabilité civile illimitée en dommages corporels,Premium,500000,1500,Responsabilité civile illimitée en dommages corporels. Applicable selon conditions générales CG-2026.,True
GA00181,Dommages corporels du conducteur jusqu'à 500 000 MAD,Gold,200000,2000,Dommages corporels du conducteur jusqu'à 500 000 MAD. Applicable selon conditions générales CG-2026.,True
GA00182,Bris de glace sans franchise limité à 2 sinistres/an,Gold+,200000,2000,Bris de glace sans franchise limité à 2 sinistres/an. Applicable selon conditions générales CG-2026.,True
GA00183,Assistance 0 km 24h/24 au Maroc et en Europe,Silver,999999,0,Assistance 0 km 24h/24 au Maroc et en Europe. Applicable selon conditions générales CG-2026.,True
GA00184,Véhicule de remplacement 7 jours en cas d'accident,Silver+,999999,3000,Véhicule de remplacement 7 jours en cas d'accident. Applicable selon conditions générales CG-2026.,True
GA00185,Protection juridique jusqu'à 15 000 MAD,Silver,999999,1000,Protection juridique jusqu'à 15 000 MAD. Applicable selon conditions générales CG-2026.,True
